id,c_municipio,c_estado,descripcion
catalogo_municipio200,007,MEX,Amanalco
catalogo_municipio201,007,MIC,Aporo
catalogo_municipio202,007,MOR,Cuernavaca
catalogo_municipio203,007,NAY,Jala
catalogo_municipio204,007,NLE,Aramberri
catalogo_municipio205,007,OAX,Asunción Ocotlán
catalogo_municipio206,007,PUE,Ahuatlán
catalogo_municipio207,007,QUE,Ezequiel Montes
catalogo_municipio208,007,ROO,Lázaro Cárdenas
catalogo_municipio209,007,SIN,Choix
catalogo_municipio210,007,SLP,Cedral
catalogo_municipio211,007,SON,Atil
catalogo_municipio212,007,TAB,Emiliano Zapata
catalogo_municipio213,007,TAM,Camargo
catalogo_municipio214,007,TLA,El Carmen Tequexquitla
catalogo_municipio215,007,VER,Camarón de Tejeda
catalogo_municipio216,007,YUC,Cacalchén
catalogo_municipio217,007,ZAC,Concepción del Oro
catalogo_municipio218,008,AGU,San José de Gracia
catalogo_municipio219,008,BCS,Los Cabos
catalogo_municipio220,008,CAM,Tenabo
catalogo_municipio221,008,COA,Escobedo
catalogo_municipio222,008,COL,Minatitlán
catalogo_municipio223,008,CHH,Batopilas
catalogo_municipio224,008,CHP,Angel Albino Corzo
catalogo_municipio225,008,DIF,La Magdalena Contreras
catalogo_municipio226,008,DUR,Guadalupe Victoria
catalogo_municipio227,008,GRO,Atenango del Río
catalogo_municipio228,008,GUA,Manuel Doblado
catalogo_municipio229,008,HID,Apan
catalogo_municipio230,008,JAL,Arandas
catalogo_municipio231,008,MEX,Amatepec
catalogo_municipio232,008,MIC,Aquila
catalogo_municipio233,008,MOR,Emiliano Zapata
catalogo_municipio234,008,NAY,Xalisco
catalogo_municipio235,008,NLE,Bustamante
catalogo_municipio236,008,OAX,Asunción Tlacolulita
catalogo_municipio237,008,PUE,Ahuazotepec
catalogo_municipio238,008,QUE,Huimilpan
catalogo_municipio239,008,ROO,Solidaridad
catalogo_municipio240,008,SIN,Elota
catalogo_municipio241,008,SLP,Cerritos
catalogo_municipio242,008,SON,Bacadéhuachi
catalogo_municipio243,008,TAB,Huimanguillo
catalogo_municipio244,008,TAM,Casas
catalogo_municipio245,008,TLA,Cuapiaxtla
catalogo_municipio246,008,VER,Alpatláhuac
catalogo_municipio247,008,YUC,Calotmul
catalogo_municipio248,008,ZAC,Cuauhtémoc
catalogo_municipio249,009,AGU,Tepezalá
catalogo_municipio250,009,BCS,Loreto
catalogo_municipio251,009,CAM,Escárcega
catalogo_municipio252,009,COA,Francisco I. Madero
catalogo_municipio253,009,COL,Tecomán
catalogo_municipio254,009,CHH,Bocoyna
catalogo_municipio255,009,CHP,Arriaga
catalogo_municipio256,009,DIF,Milpa Alta
catalogo_municipio257,009,DUR,Guanaceví
catalogo_municipio258,009,GRO,Atlamajalcingo del Monte
catalogo_municipio259,009,GUA,Comonfort
catalogo_municipio260,009,HID,El Arenal
catalogo_municipio261,009,JAL,El Arenal
catalogo_municipio262,009,MEX,Amecameca
catalogo_municipio263,009,MIC,Ario
catalogo_municipio264,009,MOR,Huitzilac
catalogo_municipio265,009,NAY,Del Nayar
catalogo_municipio266,009,NLE,Cadereyta Jiménez
catalogo_municipio267,009,OAX,Ayotzintepec
catalogo_municipio268,009,PUE,Ahuehuetitla
catalogo_municipio269,009,QUE,Jalpan de Serra
catalogo_municipio270,009,ROO,Tulum
catalogo_municipio271,009,SIN,Escuinapa
catalogo_municipio272,009,SLP,Cerro de San Pedro
catalogo_municipio273,009,SON,Bacanora
catalogo_municipio274,009,TAB,Jalapa
catalogo_municipio275,009,TAM,Ciudad Madero
catalogo_municipio276,009,TLA,Cuaxomulco
catalogo_municipio277,009,VER,Alto Lucero de Gutiérrez Barrios
catalogo_municipio278,009,YUC,Cansahcab
catalogo_municipio279,009,ZAC,Chalchihuites
catalogo_municipio280,010,AGU,El Llano
catalogo_municipio281,010,CAM,Calakmul
catalogo_municipio282,010,COA,Frontera
catalogo_municipio283,010,COL,Villa de Álvarez
catalogo_municipio284,010,CHH,Buenaventura
catalogo_municipio285,010,CHP,Bejucal de Ocampo
catalogo_municipio286,010,DIF,Álvaro Obregón
catalogo_municipio287,010,DUR,Hidalgo
catalogo_municipio288,010,GRO,Atlixtac
catalogo_municipio289,010,GUA,Coroneo
catalogo_municipio290,010,HID,Atitalaquia
catalogo_municipio291,010,JAL,Atemajac de Brizuela
catalogo_municipio292,010,MEX,Apaxco
catalogo_municipio293,010,MIC,Arteaga
catalogo_municipio294,010,MOR,Jantetelco
catalogo_municipio295,010,NAY,Rosamorada
catalogo_municipio296,010,NLE,El Carmen
catalogo_municipio297,010,OAX,El Barrio de la Soledad
catalogo_municipio298,010,PUE,Ajalpan
catalogo_municipio299,010,QUE,Landa de Matamoros
catalogo_municipio300,010,ROO,Bacalar
catalogo_municipio301,010,SIN,El Fuerte
catalogo_municipio302,010,SLP,Ciudad del Maíz
catalogo_municipio303,010,SON,Bacerac
catalogo_municipio304,010,TAB,Jalpa de Méndez
catalogo_municipio305,010,TAM,Cruillas
catalogo_municipio306,010,TLA,Chiautempan
catalogo_municipio307,010,VER,Altotonga
catalogo_municipio308,010,YUC,Cantamayec
catalogo_municipio309,010,ZAC,Fresnillo
catalogo_municipio310,011,AGU,San Francisco de los Romo
catalogo_municipio311,011,CAM,Candelaria
catalogo_municipio312,011,COA,General Cepeda
catalogo_municipio313,011,CHH,Camargo
catalogo_municipio314,011,CHP,Bella Vista
catalogo_municipio315,011,DIF,Tláhuac
catalogo_municipio316,011,DUR,Indé
catalogo_municipio317,011,GRO,Atoyac de Álvarez
catalogo_municipio318,011,GUA,Cortazar
catalogo_municipio319,011,HID,Atlapexco
catalogo_municipio320,011,JAL,Atengo
catalogo_municipio321,011,MEX,Atenco
catalogo_municipio322,011,MIC,Briseñas
catalogo_municipio323,011,MOR,Jiutepec
catalogo_municipio324,011,NAY,Ruíz
catalogo_municipio325,011,NLE,Cerralvo
catalogo_municipio326,011,OAX,Calihualá
catalogo_municipio327,011,PUE,Albino Zertuche
catalogo_municipio328,011,QUE,El Marqués
catalogo_municipio329,011,ROO,Puerto Morelos
catalogo_municipio330,011,SIN,Guasave
catalogo_municipio331,011,SLP,Ciudad Fernández
catalogo_municipio332,011,SON,Bacoachi
catalogo_municipio333,011,TAB,Jonuta
catalogo_municipio334,011,TAM,Gómez Farías
catalogo_municipio335,011,TLA,Muñoz de Domingo Arenas
catalogo_municipio336,011,VER,Alvarado
catalogo_municipio337,011,YUC,Celestún
catalogo_municipio338,011,ZAC,Trinidad García de la Cadena
catalogo_municipio339,012,COA,Guerrero
catalogo_municipio340,012,CHH,Carichí
catalogo_municipio341,012,CHP,Berriozábal
catalogo_municipio342,012,DIF,Tlalpan
catalogo_municipio343,012,DUR,Lerdo
catalogo_municipio344,012,GRO,Ayutla de los Libres
catalogo_municipio345,012,GUA,Cuerámaro
catalogo_municipio346,012,HID,Atotonilco el Grande
catalogo_municipio347,012,JAL,Atenguillo
catalogo_municipio348,012,MEX,Atizapán
catalogo_municipio349,012,MIC,Buenavista
catalogo_municipio350,012,MOR,Jojutla
catalogo_municipio351,012,NAY,San Blas
catalogo_municipio352,012,NLE,Ciénega de Flores
catalogo_municipio353,012,OAX,Candelaria Loxicha
catalogo_municipio354,012,PUE,Aljojuca
catalogo_municipio355,012,QUE,Pedro Escobedo
catalogo_municipio356,012,SIN,Mazatlán
catalogo_municipio357,012,SLP,Tancanhuitz
catalogo_municipio358,012,SON,Bácum
catalogo_municipio359,012,TAB,Macuspana
catalogo_municipio360,012,TAM,González
catalogo_municipio361,012,TLA,Españita
catalogo_municipio362,012,VER,Amatitlán
catalogo_municipio363,012,YUC,Cenotillo
catalogo_municipio364,012,ZAC,Genaro Codina
catalogo_municipio365,013,COA,Hidalgo
catalogo_municipio366,013,CHH,Casas Grandes
catalogo_municipio367,013,CHP,Bochil
catalogo_municipio368,013,DIF,Xochimilco
catalogo_municipio369,013,DUR,Mapimí
catalogo_municipio370,013,GRO,Azoyú
catalogo_municipio371,013,GUA,Doctor Mora
catalogo_municipio372,013,HID,Atotonilco de Tula
catalogo_municipio373,013,JAL,Atotonilco el Alto
catalogo_municipio374,013,MEX,Atizapán de Zaragoza
catalogo_municipio375,013,MIC,Carácuaro
catalogo_municipio376,013,MOR,Jonacatepec
catalogo_municipio377,013,NAY,San Pedro Lagunillas
catalogo_municipio378,013,NLE,China
catalogo_municipio379,013,OAX,Ciénega de Zimatlán
catalogo_municipio380,013,PUE,Altepexi
catalogo_municipio381,013,QUE,Peñamiller
catalogo_municipio382,013,SIN,Mocorito
catalogo_municipio383,013,SLP,Ciudad Valles
catalogo_municipio384,013,SON,Banámichi
catalogo_municipio385,013,TAB,Nacajuca
catalogo_municipio386,013,TAM,Güémez
catalogo_municipio387,013,TLA,Huamantla
catalogo_municipio388,013,VER,Naranjos Amatlán
catalogo_municipio389,013,YUC,Conkal
catalogo_municipio390,013,ZAC,General Enrique Estrada
catalogo_municipio391,014,COA,Jiménez
catalogo_municipio392,014,CHH,Coronado
catalogo_municipio393,014,CHP,El Bosque
catalogo_municipio394,014,DIF,Benito Juárez
catalogo_municipio395,014,DUR,Mezquital
catalogo_municipio396,014,GRO,Benito Juárez
catalogo_municipio397,014,GUA,Dolores Hidalgo Cuna de la Independencia Nacional
catalogo_municipio398,014,HID,Calnali
catalogo_municipio399,014,JAL,Atoyac
catalogo_municipio400,014,MEX,Atlacomulco
catalogo_municipio401,014,MIC,Coahuayana
catalogo_municipio402,014,MOR,Mazatepec
catalogo_municipio403,014,NAY,Santa María del Oro
catalogo_municipio404,014,NLE,Doctor Arroyo
catalogo_municipio405,014,OAX,Ciudad Ixtepec
catalogo_municipio406,014,PUE,Amixtlán
catalogo_municipio407,014,QUE,Querétaro
catalogo_municipio408,014,SIN,Rosario
catalogo_municipio409,014,SLP,Coxcatlán
catalogo_municipio410,014,SON,Baviácora
catalogo_municipio411,014,TAB,Paraíso
catalogo_municipio412,014,TAM,Guerrero
catalogo_municipio413,014,TLA,Hueyotlipan
catalogo_municipio414,014,VER,Amatlán de los Reyes
catalogo_municipio415,014,YUC,Cuncunul
catalogo_municipio416,014,ZAC,General Francisco R. Murguía
catalogo_municipio417,015,COA,Juárez
catalogo_municipio418,015,CHH,Coyame del Sotol
catalogo_municipio419,015,CHP,Cacahoatán
catalogo_municipio420,015,DIF,Cuauhtémoc
catalogo_municipio421,015,DUR,Nazas
catalogo_municipio422,015,GRO,Buenavista de Cuéllar
catalogo_municipio423,015,GUA,Guanajuato
catalogo_municipio424,015,HID,Cardonal
catalogo_municipio425,015,JAL,Autlán de Navarro
catalogo_municipio426,015,MEX,Atlautla
catalogo_municipio427,015,MIC,Coalcomán de Vázquez Pallares
catalogo_municipio428,015,MOR,Miacatlán
catalogo_municipio429,015,NAY,Santiago Ixcuintla
catalogo_municipio430,015,NLE,Doctor Coss
catalogo_municipio431,015,OAX,Coatecas Altas
catalogo_municipio432,015,PUE,Amozoc
catalogo_municipio433,015,QUE,San Joaquín
catalogo_municipio434,015,SIN,Salvador Alvarado
catalogo_municipio435,015,SLP,Charcas
catalogo_municipio436,015,SON,Bavispe
catalogo_municipio437,015,TAB,Tacotalpa
catalogo_municipio438,015,TAM,Gustavo Díaz Ordaz
catalogo_municipio439,015,TLA,Ixtacuixtla de Mariano Matamoros
catalogo_municipio440,015,VER,Angel R. Cabada
catalogo_municipio441,015,YUC,Cuzamá
catalogo_municipio442,015,ZAC,El Plateado de Joaquín Amaro
catalogo_municipio443,016,COA,Lamadrid
catalogo_municipio444,016,CHH,La Cruz
catalogo_municipio445,016,CHP,Catazajá
catalogo_municipio446,016,DIF,Miguel Hidalgo
catalogo_municipio447,016,DUR,Nombre de Dios
catalogo_municipio448,016,GRO,Coahuayutla de José María Izazaga
catalogo_municipio449,016,GUA,Huanímaro
catalogo_municipio450,016,HID,Cuautepec de Hinojosa
catalogo_municipio451,016,JAL,Ayotlán
catalogo_municipio452,016,MEX,Axapusco
catalogo_municipio453,016,MIC,Coeneo
catalogo_municipio454,016,MOR,Ocuituco
catalogo_municipio455,016,NAY,Tecuala
catalogo_municipio456,016,NLE,Doctor González
catalogo_municipio457,016,OAX,Coicoyán de las Flores
catalogo_municipio458,016,PUE,Aquixtla
catalogo_municipio459,016,QUE,San Juan del Río
catalogo_municipio460,016,SIN,San Ignacio
catalogo_municipio461,016,SLP,Ebano
catalogo_municipio462,016,SON,Benjamín Hill
catalogo_municipio463,016,TAB,Teapa
catalogo_municipio464,016,TAM,Hidalgo
catalogo_municipio465,016,TLA,Ixtenco
catalogo_municipio466,016,VER,La Antigua
catalogo_municipio467,016,YUC,Chacsinkín
catalogo_municipio468,016,ZAC,General Pánfilo Natera
catalogo_municipio469,017,COA,Matamoros
catalogo_municipio470,017,CHH,Cuauhtémoc
catalogo_municipio471,017,CHP,Cintalapa
catalogo_municipio472,017,DIF,Venustiano Carranza
catalogo_municipio473,017,DUR,Ocampo
catalogo_municipio474,017,GRO,Cocula
catalogo_municipio475,017,GUA,Irapuato
catalogo_municipio476,017,HID,Chapantongo
catalogo_municipio477,017,JAL,Ayutla
catalogo_municipio478,017,MEX,Ayapango
catalogo_municipio479,017,MIC,Contepec
catalogo_municipio480,017,MOR,Puente de Ixtla
catalogo_municipio481,017,NAY,Tepic
catalogo_municipio482,017,NLE,Galeana
catalogo_municipio483,017,OAX,La Compañía
catalogo_municipio484,017,PUE,Atempan
catalogo_municipio485,017,QUE,Tequisquiapan
catalogo_municipio486,017,SIN,Sinaloa
catalogo_municipio487,017,SLP,Guadalcázar
catalogo_municipio488,017,SON,Caborca
catalogo_municipio489,017,TAB,Tenosique
catalogo_municipio490,017,TAM,Jaumave
catalogo_municipio491,017,TLA,Mazatecochco de José María Morelos
catalogo_municipio492,017,VER,Apazapan
catalogo_municipio493,017,YUC,Chankom
catalogo_municipio494,017,ZAC,Guadalupe
catalogo_municipio495,018,COA,Monclova
catalogo_municipio496,018,CHH,Cusihuiriachi
catalogo_municipio497,018,CHP,Coapilla
catalogo_municipio498,018,DUR,El Oro
catalogo_municipio499,018,GRO,Copala
catalogo_municipio500,018,GUA,Jaral del Progreso
catalogo_municipio501,018,HID,Chapulhuacán
catalogo_municipio502,018,JAL,La Barca
catalogo_municipio503,018,MEX,Calimaya
catalogo_municipio504,018,MIC,Copándaro
catalogo_municipio505,018,MOR,Temixco
catalogo_municipio506,018,NAY,Tuxpan
catalogo_municipio507,018,NLE,García
catalogo_municipio508,018,OAX,Concepción Buenavista
catalogo_municipio509,018,PUE,Atexcal
catalogo_municipio510,018,QUE,Tolimán
catalogo_municipio511,018,SIN,Navolato
catalogo_municipio512,018,SLP,Huehuetlán
catalogo_municipio513,018,SON,Cajeme
catalogo_municipio514,018,TAM,Jiménez
catalogo_municipio515,018,TLA,Contla de Juan Cuamatzi
catalogo_municipio516,018,VER,Aquila
catalogo_municipio517,018,YUC,Chapab
catalogo_municipio518,018,ZAC,Huanusco
catalogo_municipio519,019,COA,Morelos
catalogo_municipio520,019,CHH,Chihuahua
catalogo_municipio521,019,CHP,Comitán de Domínguez
catalogo_municipio522,019,DUR,Otáez
catalogo_municipio523,019,GRO,Copalillo
catalogo_municipio524,019,GUA,Jerécuaro
catalogo_municipio525,019,HID,Chilcuautla
catalogo_municipio526,019,JAL,Bolaños
catalogo_municipio527,019,MEX,Capulhuac
catalogo_municipio528,019,MIC,Cotija
catalogo_municipio529,019,MOR,Tepalcingo
catalogo_municipio530,019,NAY,La Yesca
catalogo_municipio531,019,NLE,San Pedro Garza García
catalogo_municipio532,019,OAX,Concepción Pápalo
catalogo_municipio533,019,PUE,Atlixco
catalogo_municipio534,019,SLP,Lagunillas
catalogo_municipio535,019,SON,Cananea
catalogo_municipio536,019,TAM,Llera
catalogo_municipio537,019,TLA,Tepetitla de Lardizábal
catalogo_municipio538,019,VER,Astacinga
catalogo_municipio539,019,YUC,Chemax
catalogo_municipio540,019,ZAC,Jalpa
catalogo_municipio541,020,COA,Múzquiz
catalogo_municipio542,020,CHH,Chínipas
catalogo_municipio543,020,CHP,La Concordia
catalogo_municipio544,020,DUR,Pánuco de Coronado
catalogo_municipio545,020,GRO,Copanatoyac
catalogo_municipio546,020,GUA,León
catalogo_municipio547,020,HID,Eloxochitlán
catalogo_municipio548,020,JAL,Cabo Corrientes
catalogo_municipio549,020,MEX,Coacalco de Berriozábal
catalogo_municipio550,020,MIC,Cuitzeo
catalogo_municipio551,020,MOR,Tepoztlán
catalogo_municipio552,020,NAY,Bahía de Banderas
catalogo_municipio553,020,NLE,General Bravo
catalogo_municipio554,020,OAX,Constancia del Rosario
catalogo_municipio555,020,PUE,Atoyatempan
catalogo_municipio556,020,SLP,Matehuala
catalogo_municipio557,020,SON,Carbó
catalogo_municipio558,020,TAM,Mainero
catalogo_municipio559,020,TLA,Sanctórum de Lázaro Cárdenas
catalogo_municipio560,020,VER,Atlahuilco
catalogo_municipio561,020,YUC,Chicxulub Pueblo
catalogo_municipio562,020,ZAC,Jerez
catalogo_municipio563,021,COA,Nadadores
catalogo_municipio564,021,CHH,Delicias
catalogo_municipio565,021,CHP,Copainalá
catalogo_municipio566,021,DUR,Peñón Blanco
catalogo_municipio567,021,GRO,Coyuca de Benítez
catalogo_municipio568,021,GUA,Moroleón
catalogo_municipio569,021,HID,Emiliano Zapata
catalogo_municipio570,021,JAL,Casimiro Castillo
catalogo_municipio571,021,MEX,Coatepec Harinas
catalogo_municipio572,021,MIC,Charapan
catalogo_municipio573,021,MOR,Tetecala
catalogo_municipio574,021,NLE,General Escobedo
catalogo_municipio575,021,OAX,Cosolapa
catalogo_municipio576,021,PUE,Atzala
catalogo_municipio577,021,SLP,Mexquitic de Carmona
catalogo_municipio578,021,SON,La Colorada
catalogo_municipio579,021,TAM,El Mante
catalogo_municipio580,021,TLA,Nanacamilpa de Mariano Arista
catalogo_municipio581,021,VER,Atoyac
catalogo_municipio582,021,YUC,Chichimilá
catalogo_municipio583,021,ZAC,Jiménez del Teul
catalogo_municipio584,022,COA,Nava
catalogo_municipio585,022,CHH,Dr. Belisario Domínguez
catalogo_municipio586,022,CHP,Chalchihuitán
catalogo_municipio587,022,DUR,Poanas
catalogo_municipio588,022,GRO,Coyuca de Catalán
catalogo_municipio589,022,GUA,Ocampo
catalogo_municipio590,022,HID,Epazoyucan
catalogo_municipio591,022,JAL,Cihuatlán
catalogo_municipio592,022,MEX,Cocotitlán
catalogo_municipio593,022,MIC,Charo
catalogo_municipio594,022,MOR,Tetela del Volcán
catalogo_municipio595,022,NLE,General Terán
