id,clave,nacionalidad,aerolinea
catalogos_codigo_transporte_aereo94,CA094,Europeas,Azur Air
catalogos_codigo_transporte_aereo95,CA095,Europeas,Blue Panorama
catalogos_codigo_transporte_aereo96,CA096,Europeas,British Airways
catalogos_codigo_transporte_aereo97,CA097,Europeas,C.A.L. Cargo Airlines
catalogos_codigo_transporte_aereo98,CA098,Europeas,CargoLogicAir
catalogos_codigo_transporte_aereo99,CA099,Europeas,Cargolux Airlines
catalogos_codigo_transporte_aereo100,CA100,Europeas,Cargolux Italia S. P. A.
catalogos_codigo_transporte_aereo101,CA101,Europeas,Corsair (Corse Air Int.)
catalogos_codigo_transporte_aereo102,CA102,Europeas,Edelweiss (Edelweiss Air Ag) Air Ag
catalogos_codigo_transporte_aereo103,CA103,Europeas,Evelop Airlines
catalogos_codigo_transporte_aereo104,CA104,Europeas,Finn Air
catalogos_codigo_transporte_aereo105,CA105,Europeas,Flugleidir Hf. D/B/A Icelandair
catalogos_codigo_transporte_aereo106,CA106,Europeas,Hi-Fly Transportes Aereos
catalogos_codigo_transporte_aereo107,CA107,Europeas,Iberia (Iberia Líneas Aéreas De España)
catalogos_codigo_transporte_aereo108,CA108,Europeas,IKAR LLC.
catalogos_codigo_transporte_aereo109,CA109,Europeas,K L M (Royal Dutch Airlines)
catalogos_codigo_transporte_aereo110,CA110,Europeas,Lufthansa (Deutsche Lufthansa Ag)
catalogos_codigo_transporte_aereo111,CA111,Europeas,Lufthansa Cargo Ag
catalogos_codigo_transporte_aereo112,CA112,Europeas,Martin Air (Martin Air Holland N.V)
catalogos_codigo_transporte_aereo113,CA113,Europeas,Neos Air (Neos S.P.A.)
catalogos_codigo_transporte_aereo114,CA114,Europeas,Nordwind
catalogos_codigo_transporte_aereo115,CA115,Europeas,Norwegian Air Shuttle 
catalogos_codigo_transporte_aereo116,CA116,Europeas,NOVA AIRLINES
catalogos_codigo_transporte_aereo117,CA117,Europeas,Orbest
catalogos_codigo_transporte_aereo118,CA118,Europeas,Polskie Linie Lotnicze
catalogos_codigo_transporte_aereo119,CA119,Europeas,Privilege Style
catalogos_codigo_transporte_aereo120,CA120,Europeas,Pullmantur
catalogos_codigo_transporte_aereo121,CA121,Europeas,Royal Flight
catalogos_codigo_transporte_aereo122,CA122,Europeas,"SATA International  Servicios de Transportes Aereos, s.a."
catalogos_codigo_transporte_aereo123,CA123,Europeas,Scandinavia (Thomas Cook Airlines Scandinavia )
catalogos_codigo_transporte_aereo124,CA124,Europeas,Thomas Cook (Thomas Cook Ltd)
catalogos_codigo_transporte_aereo125,CA125,Europeas,Thomson Airways (Thomson Airways Ltd) Ltd
catalogos_codigo_transporte_aereo126,CA126,Europeas,Thomson Fly Limited
catalogos_codigo_transporte_aereo127,CA127,Europeas,Titan Airways
catalogos_codigo_transporte_aereo128,CA128,Europeas,Transaero Airlines
catalogos_codigo_transporte_aereo129,CA129,Europeas,TRAVEL SERVICE
catalogos_codigo_transporte_aereo130,CA130,Europeas,TUI Airways
catalogos_codigo_transporte_aereo131,CA131,Europeas,Tui Belgium
catalogos_codigo_transporte_aereo132,CA132,Europeas,Tui Nederland
catalogos_codigo_transporte_aereo133,CA133,Europeas,TUIFLY GMBH
catalogos_codigo_transporte_aereo134,CA134,Europeas,Tuifly Nordic
catalogos_codigo_transporte_aereo135,CA135,Europeas,Turkish Airlines
catalogos_codigo_transporte_aereo136,CA136,Europeas,"Virgin Atlantic Airways, Limited"
catalogos_codigo_transporte_aereo137,CA137,Europeas,"Wamos Air, S.A."
catalogos_codigo_transporte_aereo138,CA138,Europeas,White Airways
catalogos_codigo_transporte_aereo139,CA139,Europeas,Xl Airways (Xl Airways France)
catalogos_codigo_transporte_aereo140,CA140,Mexicanas,Aéreo Calafia
catalogos_codigo_transporte_aereo141,CA141,Mexicanas,Aerolíneas Damojh (Global Air )
catalogos_codigo_transporte_aereo142,CA142,Mexicanas,Aeromar
catalogos_codigo_transporte_aereo143,CA143,Mexicanas,Aeroméxico (Aerovías De México)
catalogos_codigo_transporte_aereo144,CA144,Mexicanas,Aeroméxico Connect (Aerolitoral)
catalogos_codigo_transporte_aereo145,CA145,Mexicanas,Aeronaves TSM
catalogos_codigo_transporte_aereo146,CA146,Mexicanas,Aeroservicios de La Costa
catalogos_codigo_transporte_aereo147,CA147,Mexicanas,Aerounión (Aerotransportes De Carga Union)
catalogos_codigo_transporte_aereo148,CA148,Mexicanas,Estafeta (Carga Aérea)
catalogos_codigo_transporte_aereo149,CA149,Mexicanas,Interjet (Abc Aerolíneas)
catalogos_codigo_transporte_aereo150,CA150,Mexicanas,Magnicharters (Grupo Aéreo Monterrey)
catalogos_codigo_transporte_aereo151,CA151,Mexicanas,Mas Air (Más De Carga)
catalogos_codigo_transporte_aereo152,CA152,Mexicanas,"MCS Aerocarga De México, S.A De C.V."
catalogos_codigo_transporte_aereo153,CA153,Mexicanas,"Servicios Integrales De Aviacion, S.A. De C.V."
catalogos_codigo_transporte_aereo154,CA154,Mexicanas,Transportes Aéreos Regionales (TAR)
catalogos_codigo_transporte_aereo155,CA155,Mexicanas,Vivaaerobus (Aeroenlaces)
catalogos_codigo_transporte_aereo156,CA156,Mexicanas,Volaris (Concesionaria Vuela Cia De Aviación)
