id,c_colonia,c_codigopostal,descripcion
catalogo_colonias115,0001,30434,Aurora Cintal
catalogo_colonias116,0001,30491,Josefa Ortiz de Domínguez
catalogo_colonias117,0001,30515,Las Piedritas
catalogo_colonias118,0001,30535,Embarcadero de Jericó (El Siglo)
catalogo_colonias119,0001,30553,Miramar
catalogo_colonias120,0001,30568,El Rosario
catalogo_colonias121,0001,30580,7 de Abril
catalogo_colonias122,0001,30638,Playón
catalogo_colonias123,0001,30649,La Florida
catalogo_colonias124,0001,30650,Jardín las Flores
catalogo_colonias125,0001,30670,FOVISSSTE Guadalupe
catalogo_colonias126,0001,30680,Esquipulas
catalogo_colonias127,0001,30740,Coapantes
catalogo_colonias128,0001,30849,Pino Suárez
catalogo_colonias129,0001,30860,San Judas Tadeo
catalogo_colonias130,0001,30870,San Juan
catalogo_colonias131,0001,30884,Talquián
catalogo_colonias132,0001,30890,Rosario Ixtal
catalogo_colonias133,0001,30900,Los Olivos
catalogo_colonias134,0001,30925,Reforma
catalogo_colonias135,0001,30953,El Cercadillo
catalogo_colonias136,0001,30970,Los Pérez
catalogo_colonias137,0001,30986,Vega de Guerrero
catalogo_colonias138,0001,31160,Caminos del Valle
catalogo_colonias139,0001,31607,Campo Número Quince
catalogo_colonias140,0001,31646,Campo Setenta y Tres
catalogo_colonias141,0001,31653,Punta Oriente
catalogo_colonias142,0001,31680,Guadalupe
catalogo_colonias143,0001,31704,Praderas del Oriente
catalogo_colonias144,0001,31825,El Bismarck
catalogo_colonias145,0001,31861,Santa Rosa
catalogo_colonias146,0001,31884,Barrio Sur
catalogo_colonias147,0001,31904,Oscar Ornelas
catalogo_colonias148,0001,31977,Campo Cincuenta y Seis (Tres Hermanos)
catalogo_colonias149,0001,31980,El Pajarito
catalogo_colonias150,0001,32565,Cerrada de los Cipreses
catalogo_colonias151,0001,32830,El Ágate
catalogo_colonias152,0001,32912,Bosques de San Jerónimo
catalogo_colonias153,0001,33013,Central de Abastos
catalogo_colonias154,0001,33123,Rancho Llorarás
catalogo_colonias155,0001,33130,Camino Real
catalogo_colonias156,0001,33163,Guadalupe de la Saucería
catalogo_colonias157,0001,33185,Las Truchas
catalogo_colonias158,0001,33210,El Pozo
catalogo_colonias159,0001,33255,Rancho Dominguez
catalogo_colonias160,0001,33264,Santo Toribio
catalogo_colonias161,0001,33293,Las Juntas
catalogo_colonias162,0001,33390,San Isidro
catalogo_colonias163,0001,33408,San José de Valenzuela
catalogo_colonias164,0001,33467,Los Placeres
catalogo_colonias165,0001,33470,Presidentes
catalogo_colonias166,0001,33506,Barrio 5 de Mayo
catalogo_colonias167,0001,33600,Colonia Flores
catalogo_colonias168,0001,33637,Santa Ofelia
catalogo_colonias169,0001,33656,San Juan Bautista
catalogo_colonias170,0001,33670,Panamericana
catalogo_colonias171,0001,33824,El Quijote
catalogo_colonias172,0001,33924,La Haciendita Fiereña
catalogo_colonias173,0001,33956,Agua de Pinole
catalogo_colonias174,0001,33996,San Pedro
catalogo_colonias175,0001,34000,Victoria de Durango Centro
catalogo_colonias176,0001,34570,El Durazno
catalogo_colonias177,0001,34614,Piedra de Amolar
catalogo_colonias178,0001,34694,El Limoncito
catalogo_colonias179,0001,34894,Loma Bonita
catalogo_colonias180,0001,35140,Aquiles Serdán
catalogo_colonias181,0001,35174,La Gloria
catalogo_colonias182,0001,35214,Venustiano Carranza (El Seis)
catalogo_colonias183,0001,35383,El Molino
catalogo_colonias184,0001,35413,El Alto de los Lirios
catalogo_colonias185,0001,35633,La Vinata
catalogo_colonias186,0001,35803,Juan Pablo II
catalogo_colonias187,0001,35917,Los Tenamastes
catalogo_colonias188,0001,36000,Guanajuato Centro
catalogo_colonias189,0001,36275,Parque Industrial Santa Fe Ampliación
catalogo_colonias190,0001,36405,Residencial Valle del Laurel
catalogo_colonias191,0001,36440,La Cruz del Derramadero
catalogo_colonias192,0001,36495,Agua Nueva
catalogo_colonias193,0001,36554,El Zapote del Milagro
catalogo_colonias194,0001,36720,Real Bugambilias
catalogo_colonias195,0001,36906,Los Sabinos
catalogo_colonias196,0001,36960,Nuevo Camino Real
catalogo_colonias197,0001,36998,Carmen Rodríguez
catalogo_colonias198,0001,37293,Sierra Nogal
catalogo_colonias199,0001,37616,San José de Rancho Nuevo (Los Arrieros)
catalogo_colonias200,0001,37834,Peñuelitas (Peñuelas)
catalogo_colonias201,0001,37867,Ama Lur
catalogo_colonias202,0001,37893,Polo Habitacional La Esmeralda
catalogo_colonias203,0001,37915,Mineral de Pozos
catalogo_colonias204,0001,37924,La Lagunita
catalogo_colonias205,0001,37933,Agua Zarca del Pinal
catalogo_colonias206,0001,37967,Bordo la Luz
catalogo_colonias207,0001,38033,Villas Vicenza
catalogo_colonias208,0001,38185,Villas de Castillo
catalogo_colonias209,0001,38260,Punta Norte
catalogo_colonias210,0001,38403,Las Haciendas
catalogo_colonias211,0001,38487,Aarón García Tamayo (San Ramón)
catalogo_colonias212,0001,38495,Las Cuatas
catalogo_colonias213,0001,38596,La Tortuga
catalogo_colonias214,0001,38796,Centude
catalogo_colonias215,0001,38836,El Planchón
catalogo_colonias216,0001,38906,Celeste
catalogo_colonias217,0001,38984,Lindavista
catalogo_colonias218,0001,39000,Chilpancingo de los Bravos Centro
catalogo_colonias219,0001,39906,Joyas del Marques
catalogo_colonias220,0001,40027,Fidel Castro
catalogo_colonias221,0001,40340,San Isidro (La Hacienda de San Isidro)
catalogo_colonias222,0001,40405,12 de Mayo
catalogo_colonias223,0001,40469,La Camila (Puente de Dios)
catalogo_colonias224,0001,40493,Sabino Alto
catalogo_colonias225,0001,40500,Adrés Manuel López Obrador
catalogo_colonias226,0001,40653,El Coyol
catalogo_colonias227,0001,40686,La Cacánicua de Arriba
catalogo_colonias228,0001,40714,Zetina
catalogo_colonias229,0001,41123,Cacalotepec
catalogo_colonias230,0001,41169,Huixcomulco
catalogo_colonias231,0001,41328,Barranca del Otate
catalogo_colonias232,0001,41380,De santa Cruz
catalogo_colonias233,0001,41490,Quiahuitepec
catalogo_colonias234,0001,41503,Laguna Seca
catalogo_colonias235,0001,41640,De la Navidad
catalogo_colonias236,0001,42000,Centro
catalogo_colonias237,0001,42186,Loma Escondida
catalogo_colonias238,0001,42198,La Fortaleza
catalogo_colonias239,0001,42302,Vista Hermosa
catalogo_colonias240,0001,42334,El Sabino
catalogo_colonias241,0001,42364,Del Tedra
catalogo_colonias242,0001,42603,Eulalio Ángeles Martínez
catalogo_colonias243,0001,42920,Tercera Manzana
catalogo_colonias244,0001,42982,Loma Bonita 2da. Sección
catalogo_colonias245,0001,43204,Vista Hermosa
catalogo_colonias246,0001,43427,San Antonio el Grande
catalogo_colonias247,0001,43624,Privada Riva Palacio
catalogo_colonias248,0001,43740,Loma de Cuautepec
catalogo_colonias249,0001,43774,Ex-Hacienda de San Francisco
catalogo_colonias250,0001,43810,La Gloria
catalogo_colonias251,0001,43845,Valle Diamante
catalogo_colonias252,0001,43865,Lomas del Álamo
catalogo_colonias253,0001,43906,Ampliación Loma Bonita
catalogo_colonias254,0001,43993,Villas Napoleón
catalogo_colonias255,0001,45133,Altavista Residencial
catalogo_colonias256,0001,45306,La Estancia
catalogo_colonias257,0001,45355,La Cima
catalogo_colonias258,0001,45410,Misión de los Viñedos
catalogo_colonias259,0001,45432,Lomas de Huizquilco
catalogo_colonias260,0001,45599,Las Terrazas Residencial
catalogo_colonias261,0001,45650,Villas Terranova
catalogo_colonias262,0001,45685,El Salto
catalogo_colonias263,0001,45720,Rosendo G. Castro
catalogo_colonias264,0001,45877,Huerta Vieja
catalogo_colonias265,0001,45887,Villas Andalucía
catalogo_colonias266,0001,46030,Rincón de San Vicente
catalogo_colonias267,0001,46074,San Andrés Cohamiata
catalogo_colonias268,0001,46106,Verde
catalogo_colonias269,0001,46157,Huizaista
catalogo_colonias270,0001,46206,El Pastor
catalogo_colonias271,0001,46276,Achimec
catalogo_colonias272,0001,46315,Guadalupe
catalogo_colonias273,0001,46473,Rinconada Casa Blanca
catalogo_colonias274,0001,46615,Las Victorias
catalogo_colonias275,0001,46860,Los Pericos
catalogo_colonias276,0001,46937,Gallineros
catalogo_colonias277,0001,46984,El Tasajal
catalogo_colonias278,0001,47137,El Bueyero
catalogo_colonias279,0001,47186,La Garita
catalogo_colonias280,0001,47260,San Ignacio de Abajo
catalogo_colonias281,0001,47270,Loma Linda
catalogo_colonias282,0001,47530,Paseos del Sol
catalogo_colonias283,0001,47565,Las Amarillas
catalogo_colonias284,0001,47574,San José
catalogo_colonias285,0001,47595,San Antonio
catalogo_colonias286,0001,47620,El Árbol
catalogo_colonias287,0001,47755,San Marcos
catalogo_colonias288,0001,47902,San Isidro
catalogo_colonias289,0001,47913,Las Bugambilias
catalogo_colonias290,0001,47959,Paso de Guadalupe
catalogo_colonias291,0001,47986,Los Arrayanes
catalogo_colonias292,0001,48247,Los Encinos
catalogo_colonias293,0001,48267,Los Llanitos
catalogo_colonias294,0001,48417,Naranjitos (Arroyo Seco)
catalogo_colonias295,0001,48464,Pochotitán
catalogo_colonias296,0001,48644,Cítala
catalogo_colonias297,0001,48760,Guadalupana
catalogo_colonias298,0001,48868,El Playón
catalogo_colonias299,0001,48903,Cerro Colorado
catalogo_colonias300,0001,48963,La Zorra
catalogo_colonias301,0001,49086,La Primavera II
catalogo_colonias302,0001,49123,Cofradía del Rosario
catalogo_colonias303,0001,49306,Parques Aldama
catalogo_colonias304,0001,49421,Villa del Lago (El Baratillo)
catalogo_colonias305,0001,49515,Jardín Real de Mazamitla
catalogo_colonias306,0001,49572,Rafael Picazo (Santa Cruz)
catalogo_colonias307,0001,49606,Zapotiltic
catalogo_colonias308,0001,49910,El Casaco (Platanitos)
catalogo_colonias309,0001,50285,Conjunto Habitacional Las Bugambilias
catalogo_colonias310,0001,50525,Tercera Manzana de Barrio de Morelos
catalogo_colonias311,0001,50673,El Llano Grande Jaltepec
catalogo_colonias312,0001,50686,San Juan Coté
catalogo_colonias313,0001,50880,Hacienda las Trojes
catalogo_colonias314,0001,50997,Loma de Lienzo
catalogo_colonias315,0001,51044,San Martín Obispo
catalogo_colonias316,0001,51089,San Telmo
catalogo_colonias317,0001,51109,El Plan
catalogo_colonias318,0001,51207,Tres Puentes
catalogo_colonias319,0001,51287,Hacienda Nueva
catalogo_colonias320,0001,51300,La Cascada (Barrio del Varal)
catalogo_colonias321,0001,51383,Cuauhtémoc
catalogo_colonias322,0001,51540,El Pino
catalogo_colonias323,0001,51569,Agua Fría
catalogo_colonias324,0001,51723,La Providencia
catalogo_colonias325,0001,51814,San Juan
catalogo_colonias326,0001,51867,Progreso los Hernández (Colonia los Hernández)
catalogo_colonias327,0001,51980,Santa Ana
catalogo_colonias328,0001,52005,Los Olivos
catalogo_colonias329,0001,52085,De Mozoquilpan
catalogo_colonias330,0001,52150,El Manantial
catalogo_colonias331,0001,52226,Bosque de las Fuentes Residencial
catalogo_colonias332,0001,52280,Villas del Sauce
catalogo_colonias333,0001,52506,La Libertad
catalogo_colonias334,0001,52603,Guadalupe Yancuictlalpan (Gualupita)
catalogo_colonias335,0001,52686,El Águila (La Mesa)
catalogo_colonias336,0001,52757,San Antonio el Llanito
catalogo_colonias337,0001,52770,Paseos del Bosque
catalogo_colonias338,0001,52989,Residencial Lago Esmeralda
catalogo_colonias339,0001,53533,Campo Militar 1
catalogo_colonias340,0001,54239,San Antonio Escobedo Norte
catalogo_colonias341,0001,54280,El Progreso
catalogo_colonias342,0001,54380,Dhalle (Ejido de Dongu)
catalogo_colonias343,0001,54416,Rinconada Lago de Guadalupe
catalogo_colonias344,0001,54493,Palma (Ejido San Francisco)
catalogo_colonias345,0001,54745,Los Ailes
catalogo_colonias346,0001,54875,Foresta Residencial
catalogo_colonias347,0001,54893,Revolución
catalogo_colonias348,0001,54980,La Manzana
catalogo_colonias349,0001,55010,Bonito Arboledas
catalogo_colonias350,0001,55616,Villas de Zumpango
catalogo_colonias351,0001,55666,Tablón Chico (Tabloncito)
catalogo_colonias352,0001,55770,El Terromote
catalogo_colonias353,0001,55786,La Asunción
catalogo_colonias354,0001,55796,Paseos del Valle
catalogo_colonias355,0001,55853,Cozotlán Norte
catalogo_colonias356,0001,56024,De Tequisistlán Primero
catalogo_colonias357,0001,56035,La Concepción
catalogo_colonias358,0001,56237,El Batán
catalogo_colonias359,0001,56300,Ejidos de Cambray
catalogo_colonias360,0001,56373,El Encino
catalogo_colonias361,0001,56800,De San Bartolo
catalogo_colonias362,0001,56984,Guadalupe
catalogo_colonias363,0001,56990,De Santa Catarina
catalogo_colonias364,0001,58000,INFONAVIT El Pípila
catalogo_colonias365,0001,58383,Arostaro
catalogo_colonias366,0001,58420,Altamira o Buenavista
catalogo_colonias367,0001,58444,Fontezuelas
catalogo_colonias368,0001,58456,Yerbabuena Vieja
catalogo_colonias369,0001,58464,Las Trojes (Las Trojas)
catalogo_colonias370,0001,58480,Agraria
catalogo_colonias371,0001,58523,El Fresno de Guadalupe
catalogo_colonias372,0001,58544,Los Sauces
catalogo_colonias373,0001,58557,Los Ferrocarrileros
catalogo_colonias374,0001,58570,Lázaro Cárdenas
catalogo_colonias375,0001,58730,Las Flores
catalogo_colonias376,0001,58743,Gabino Vázquez (Los Guayabos)
catalogo_colonias377,0001,58762,Azteca
catalogo_colonias378,0001,58796,Las Casitas
catalogo_colonias379,0001,58800,Guadalupe
catalogo_colonias380,0001,58820,Chapultepec
catalogo_colonias381,0001,58846,El Cerrito
catalogo_colonias382,0001,58860,El Acuario
catalogo_colonias383,0001,58920,Bellavista
catalogo_colonias384,0001,58945,Los Pinos
catalogo_colonias385,0001,58970,12 de diciembre
catalogo_colonias386,0001,58980,Benito Juárez
catalogo_colonias387,0001,59015,Paso de las Águilas
catalogo_colonias388,0001,59140,El Lago
catalogo_colonias389,0001,59164,El Brazo
catalogo_colonias390,0001,59180,Agua Caliente
catalogo_colonias391,0001,59200,Bellavista
catalogo_colonias392,0001,59230,El Areño
catalogo_colonias393,0001,59267,Ejido de la Manga
catalogo_colonias394,0001,59296,El Agua Blanca (Rancho del Mayor)
catalogo_colonias395,0001,59427,Melchor Ocampo (Ánimas Gusgas)
catalogo_colonias396,0001,59430,25 de Enero
catalogo_colonias397,0001,59440,De Guadalupe
catalogo_colonias398,0001,59460,El Ate
catalogo_colonias399,0001,59508,Barranca de la Breña
catalogo_colonias400,0001,59533,Palos Altos
catalogo_colonias401,0001,59550,Camino Real
catalogo_colonias402,0001,59711,Francisco Sarabia
catalogo_colonias403,0001,59730,Bellas Torres
catalogo_colonias404,0001,59750,Cupatziro
catalogo_colonias405,0001,59908,El Pozole (El Amezcueño)
catalogo_colonias406,0001,59963,Las Flores
catalogo_colonias407,0001,60060,El Milagro
catalogo_colonias408,0001,60247,Cruz de Piedra
catalogo_colonias409,0001,60266,Los Reyes
catalogo_colonias410,0001,60276,Cruciro
catalogo_colonias411,0001,60280,Emiliano Zapata
catalogo_colonias412,0001,60290,Camelinas
catalogo_colonias413,0001,60413,Chaniro (Xhaniro)
catalogo_colonias414,0001,60440,Álamo
catalogo_colonias415,0001,60490,Altavista
catalogo_colonias416,0001,60536,El Salate
catalogo_colonias417,0001,60540,Del Chivo (Guadalupe)
catalogo_colonias418,0001,60597,La Bolsa (Paso de la Bolsa)
catalogo_colonias419,0001,60710,La Tamarindera
catalogo_colonias420,0001,60760,Agraria
catalogo_colonias421,0001,60800,Bugambilias
catalogo_colonias422,0001,60824,Agua Blanca (Barranca del Tereso)
catalogo_colonias423,0001,60840,Buenavista
catalogo_colonias424,0001,60885,La Palma Sola
catalogo_colonias425,0001,60900,La Cablotera
catalogo_colonias426,0001,60927,La Tauna
catalogo_colonias427,0001,60998,Valle Escondido
catalogo_colonias428,0001,61004,Estanzuela los Lulos (Santa Rosa)
catalogo_colonias429,0001,61025,El Nogal (Ampliación San Rafael)
catalogo_colonias430,0001,61073,San José Corrales
catalogo_colonias431,0001,61135,El Fresno II
catalogo_colonias432,0001,61264,San Pedro
catalogo_colonias433,0001,61280,Adolfo López Mateos
catalogo_colonias434,0001,61297,Acebuches
catalogo_colonias435,0001,61327,Agua Fría
catalogo_colonias436,0001,61334,Agua Caliente
catalogo_colonias437,0001,61370,Bellavista del Río
catalogo_colonias438,0001,61400,Aserradero
catalogo_colonias439,0001,61410,Las Mesas
catalogo_colonias440,0001,61438,Acúmbaro
catalogo_colonias441,0001,61450,Ampliación Remedios
catalogo_colonias442,0001,61470,El Alemán
catalogo_colonias443,0001,61530,Barranca Seca
catalogo_colonias444,0001,61540,Benito Juárez
catalogo_colonias445,0001,61570,Buenos Aires
catalogo_colonias446,0001,61595,El Limoncito
catalogo_colonias447,0001,61617,Ampliación Buena Vista
catalogo_colonias448,0001,61636,La Montufa
catalogo_colonias449,0001,61643,El Llanito
catalogo_colonias450,0001,61678,Casa Blanca
catalogo_colonias451,0001,61680,La Gloria
catalogo_colonias452,0001,61700,Bellavista
catalogo_colonias453,0001,61730,El Cerrito
catalogo_colonias454,0001,61750,Enrique Ramírez
catalogo_colonias455,0001,61785,La Pareja
catalogo_colonias456,0001,61800,4 Caminos
catalogo_colonias457,0001,61840,El Valle (Valle Nuevo)
catalogo_colonias458,0001,61880,Buenos Aires
catalogo_colonias459,0001,61900,Barrio Alto
catalogo_colonias460,0001,61920,El Balseadero
catalogo_colonias461,0001,61974,Acopeo
catalogo_colonias462,0001,61980,Arboledas
catalogo_colonias463,0001,62000,Cuernavaca Centro
catalogo_colonias464,0001,62565,Las Canteras
catalogo_colonias465,0001,62588,Conjunto Habitacional Campo Verde
catalogo_colonias466,0001,62665,Los Arcos
catalogo_colonias467,0001,62764,Altavista
catalogo_colonias468,0001,62827,Girasoles (Campo el Guaje)
catalogo_colonias469,0001,63000,Tepic Centro
catalogo_colonias470,0001,63205,Guadalupe Peña
catalogo_colonias471,0001,63427,La Paloma Primera
catalogo_colonias472,0001,63446,El Pato
catalogo_colonias473,0001,63497,Acatita
catalogo_colonias474,0001,63555,Marcos Cárdenas
catalogo_colonias475,0001,63586,La Piedra Picada
catalogo_colonias476,0001,63717,Caléxico
catalogo_colonias477,0001,63735,San Clemente de Lima
catalogo_colonias478,0001,63765,El Tepeyac (Cofradía)
catalogo_colonias479,0001,63785,Puerta Luna
catalogo_colonias480,0001,63820,Puerta del Río
catalogo_colonias481,0001,63850,Los Horcones
catalogo_colonias482,0001,63885,Los Ramírez
catalogo_colonias483,0001,63923,La Otra Banda
catalogo_colonias484,0001,63947,El Aguacate
catalogo_colonias485,0001,63963,La Otra Banda
catalogo_colonias486,0001,64000,Monterrey Centro
catalogo_colonias487,0001,65116,California
catalogo_colonias488,0001,65150,El Pedregal
catalogo_colonias489,0001,65256,Campestre Rivereño
catalogo_colonias490,0001,65515,Bosques de los Nogales
catalogo_colonias491,0001,65555,Los Héroes Monterrey
catalogo_colonias492,0001,65760,Privadas de Santa Clara
catalogo_colonias493,0001,66050,Torres Diamante
catalogo_colonias494,0001,66196,Valle Poniente Sector Olinca
catalogo_colonias495,0001,66277,Turquesa
catalogo_colonias496,0001,66470,Vivenza
catalogo_colonias497,0001,66580,El Jaral
catalogo_colonias498,0001,66649,Altaria Residencial
catalogo_colonias499,0001,66655,Las Haciendas
catalogo_colonias500,0001,66700,Marín
catalogo_colonias501,0001,66827,El Saucito
catalogo_colonias502,0001,66953,Norte
catalogo_colonias503,0001,67004,Conferín Arizpe
catalogo_colonias504,0001,67066,El Cuchillo
catalogo_colonias505,0001,67132,Regio Parque Industrial Guadalupe
catalogo_colonias506,0001,67289,Privada Vía Siete
catalogo_colonias507,0001,67310,El Pueblito de Santiago
catalogo_colonias508,0001,67374,Las Cruces (Carretera Nacional Kilómetro 236)
catalogo_colonias509,0001,67470,Las Palomitas (La Fragua)
catalogo_colonias510,0001,67528,Hacienda los Naranjos
catalogo_colonias511,0001,67825,Huerta Santa Teresa
catalogo_colonias512,0001,67974,El Baral
catalogo_colonias513,0001,68000,Oaxaca
catalogo_colonias514,0001,68200,Benito Juárez
catalogo_colonias515,0001,68216,Las Trancas
catalogo_colonias516,0001,68228,La Libertad Xochimilco (Segunda Sección)
catalogo_colonias517,0001,68230,Del Sol
catalogo_colonias518,0001,68235,El Molinito
catalogo_colonias519,0001,68237,Los Reyes
catalogo_colonias520,0001,68247,La Reforma
catalogo_colonias521,0001,68257,La Resurrección
catalogo_colonias522,0001,68258,6 de Enero
catalogo_colonias523,0001,68264,7 de Marzo
catalogo_colonias524,0001,68269,Buena Vista
catalogo_colonias525,0001,68273,Santa Catalina de Sena
catalogo_colonias526,0001,68285,Pinos Esmeralda
catalogo_colonias527,0001,68288,Laureles
catalogo_colonias528,0001,68297,La Trinidad
catalogo_colonias529,0001,68335,Linda Vista
catalogo_colonias530,0001,68406,La Capilla
catalogo_colonias531,0001,68426,El Carmen
catalogo_colonias532,0001,68508,Peña Campana
catalogo_colonias533,0001,68551,Los Naranjos
catalogo_colonias534,0001,68583,Almolonga
catalogo_colonias535,0001,68624,Palo Mora
catalogo_colonias536,0001,68636,Agua Neblina
catalogo_colonias537,0001,68644,Tecomaltianguisco
catalogo_colonias538,0001,68957,San Pedro Tres Arroyos
catalogo_colonias539,0001,68970,Dolores Hidalgo
catalogo_colonias540,0001,68997,Hondura Lucero
catalogo_colonias541,0001,69009,Guadalupe Victoria
catalogo_colonias542,0001,69052,La Providencia
catalogo_colonias543,0001,69064,La Reforma
catalogo_colonias544,0001,69203,Rancho Juárez
catalogo_colonias545,0001,69273,Vista Hermosa Lázaro Cárdenas
catalogo_colonias546,0001,69292,San Isidro Laguna Seca
catalogo_colonias547,0001,69300,La Ciénega
catalogo_colonias548,0001,69548,San Isidro Monteverde
catalogo_colonias549,0001,69605,Santa Cruz Río Salinas
catalogo_colonias550,0001,69627,Jazmín Morelos
catalogo_colonias551,0001,69726,Yosoyuxi Copala
catalogo_colonias552,0001,69743,Zaragoza Alacranes
catalogo_colonias553,0001,69795,Lázaro Cárdenas
catalogo_colonias554,0001,69800,Cañada Alejandro
