id,c_localidad,c_estado,descripcion
catalogos_localidades197,07,GRO,Atoyac de Álvarez
catalogos_localidades198,07,GUA,León de los Aldama
catalogos_localidades199,07,HID,Zimapan
catalogos_localidades200,07,JAL,San Juan de los Lagos
catalogos_localidades201,07,MEX,Los Reyes Acaquilpan (La Paz)
catalogos_localidades202,07,MIC,Pátzcuaro
catalogos_localidades203,07,MOR,Zacatepec de Hidalgo
catalogos_localidades204,07,NAY,Francisco I. Madero (Puga)
catalogos_localidades205,07,NLE,Monterrey
catalogos_localidades206,07,OAX,Loma Bonita
catalogos_localidades207,07,PUE,San Andrés Cholula
catalogos_localidades208,07,ROO,Isla Mujeres
catalogos_localidades209,07,SIN,Navolato
catalogos_localidades210,07,SLP,Charcas
catalogos_localidades211,07,SON,Hermosillo
catalogos_localidades212,07,TAB,Macuspana
catalogos_localidades213,07,TAM,Reynosa
catalogos_localidades214,07,VER,Córdoba
catalogos_localidades215,07,ZAC,Ojocaliente
catalogos_localidades216,08,AGU,Tepezalá
catalogos_localidades217,08,BCS,Heroica Mulegé
catalogos_localidades218,08,CAM,Champotón
catalogos_localidades219,08,COA,Saltillo
catalogos_localidades220,08,CHP,Las Margaritas
catalogos_localidades221,08,DIF,Ciudad de México
catalogos_localidades222,08,DUR,Francisco I. Madero
catalogos_localidades223,08,GUA,Moroleón
catalogos_localidades224,08,HID,Huejutla de Reyes
catalogos_localidades225,08,JAL,Tepatitlán de Morelos
catalogos_localidades226,08,MEX,Metepec
catalogos_localidades227,08,MIC,Sahuayo de Morelos
catalogos_localidades228,08,MOR,Tlaquiltenango
catalogos_localidades229,08,NAY,Villa Hidalgo (El Nuevo)
catalogos_localidades230,08,NLE,Ciudad Sabinas Hidalgo
catalogos_localidades231,08,OAX,Puerto Escondido
catalogos_localidades232,08,PUE,San Pedro Cholula
catalogos_localidades233,08,ROO,Bacalar
catalogos_localidades234,08,SIN,Quila
catalogos_localidades235,08,SLP,Salinas de Hidalgo
catalogos_localidades236,08,SON,Huatabampo
catalogos_localidades237,08,TAB,Tenosique de Pino Suárez
catalogos_localidades238,08,TAM,Ciudad Río Bravo
catalogos_localidades239,08,VER,Tres Valles
catalogos_localidades240,08,ZAC,Villa Hidalgo
catalogos_localidades241,09,AGU,Cosío
catalogos_localidades242,09,BCS,Villa Alberto Andrés Alvarado Arámburo
catalogos_localidades243,09,CAM,Hecelchakán
catalogos_localidades244,09,COA,Nueva Rosita
catalogos_localidades245,09,CHH,Madera
catalogos_localidades246,09,CHP,Arriaga
catalogos_localidades247,09,DIF,Ciudad de México
catalogos_localidades248,09,DUR,Nombre de Dios
catalogos_localidades249,09,GRO,San Jerónimo de Juárez
catalogos_localidades250,09,GUA,Salamanca
catalogos_localidades251,09,HID,Tlaxcoapan
catalogos_localidades252,09,JAL,Tlaquepaque
catalogos_localidades253,09,MEX,Naucalpan de Juárez
catalogos_localidades254,09,MIC,Uruapan
catalogos_localidades255,09,NAY,Ruiz
catalogos_localidades256,09,NLE,San Nicolás de los Garza
catalogos_localidades257,09,OAX,Río Grande o Piedra Parada
catalogos_localidades258,09,PUE,Huauchinango
catalogos_localidades259,09,SIN,Ahome
catalogos_localidades260,09,SLP,Cárdenas
catalogos_localidades261,09,SON,Navojoa
catalogos_localidades262,09,TAB,Teapa
catalogos_localidades263,09,TAM,San Fernando
catalogos_localidades264,09,VER,Jáltipan de Morelos
catalogos_localidades265,09,ZAC,Villanueva
catalogos_localidades266,10,BCS,San Ignacio
catalogos_localidades267,10,COA,San Pedro
catalogos_localidades268,10,CHH,Colonia Anáhuac
catalogos_localidades269,10,CHP,Palenque
catalogos_localidades270,10,DIF,Ciudad de México
catalogos_localidades271,10,DUR,Vicente Guerrero
catalogos_localidades272,10,GRO,Ciudad Apaxtla de Castrejón
catalogos_localidades273,10,GUA,San Francisco del Rincón
catalogos_localidades274,10,HID,Tizayuca
catalogos_localidades275,10,JAL,Zapopan
catalogos_localidades276,10,MEX,Ciudad Nezahualcoyotl
catalogos_localidades277,10,MIC,Zacapu
catalogos_localidades278,10,NAY,San Blas
catalogos_localidades279,10,NLE,Ciudad Santa Catarina
catalogos_localidades280,10,PUE,Acatlán de Osorio
catalogos_localidades281,10,SIN,Higuera de Zaragoza
catalogos_localidades282,10,SLP,Cerritos
catalogos_localidades283,10,SON,Heroica Nogales
catalogos_localidades284,10,TAB,Paraíso
catalogos_localidades285,10,TAM,Tampico
catalogos_localidades286,10,VER,Xalapa-Enríquez
catalogos_localidades287,10,ZAC,Villa de Cos
catalogos_localidades288,11,BCS,Guerrero Negro
catalogos_localidades289,11,CAM,Pomuch
catalogos_localidades290,11,COA,Torreón
catalogos_localidades291,11,CHH,Juan Aldama
catalogos_localidades292,11,CHP,Ocosingo
catalogos_localidades293,11,DIF,Ciudad de México
catalogos_localidades294,11,DUR,El Salto
catalogos_localidades295,11,GRO,Ciudad Altamirano
catalogos_localidades296,11,GUA,Silao
catalogos_localidades297,11,HID,Santiago Tulantepec
catalogos_localidades298,11,JAL,Tlajomulco de Zúñiga
catalogos_localidades299,11,MEX,Villa Nicolás Romero
catalogos_localidades300,11,MIC,Zamora de Hidalgo
catalogos_localidades301,11,NAY,Ixtlán del Río
catalogos_localidades302,11,NLE,Doctor Arroyo
catalogos_localidades303,11,OAX,Santiago Suchilquitongo
catalogos_localidades304,11,PUE,Cuautlancingo
catalogos_localidades305,11,SIN,Choix
catalogos_localidades306,11,SLP,Tamuin
catalogos_localidades307,11,SON,Puerto Peñasco
catalogos_localidades308,11,TAB,Frontera
catalogos_localidades309,11,TAM,Ciudad Victoria
catalogos_localidades310,11,VER,Minatitlán
catalogos_localidades311,11,ZAC,Nochistlán de Mejía
catalogos_localidades312,12,BCS,Santa Rosalía
catalogos_localidades313,12,COA,Castaños
catalogos_localidades314,12,CHH,José Mariano Jiménez
catalogos_localidades315,12,CHP,Tonalá
catalogos_localidades316,12,DIF,Ciudad de México
catalogos_localidades317,12,DUR,Santa María del Oro
catalogos_localidades318,12,GRO,Buenavista de Cuellar
catalogos_localidades319,12,GUA,Jerécuaro
catalogos_localidades320,12,HID,Ixmiquilpan
catalogos_localidades321,12,JAL,Tonalá
catalogos_localidades322,12,MEX,Tecamac de Felipe Villanueva
catalogos_localidades323,12,MIC,Heroica Zitácuaro
catalogos_localidades324,12,NAY,Bucerías
catalogos_localidades325,12,NLE,Ciénega de Flores
catalogos_localidades326,12,OAX,San Felipe Jalapa de Díaz
catalogos_localidades327,12,PUE,Tepeaca
catalogos_localidades328,12,SIN,Villa Unión
catalogos_localidades329,12,SLP,Tamasopo
catalogos_localidades330,12,SON,Heroica Ciudad de Cananea
catalogos_localidades331,12,TAB,Cunduacán
catalogos_localidades332,12,TAM,González
catalogos_localidades333,12,VER,Orizaba
catalogos_localidades334,12,ZAC,Víctor Rosales
catalogos_localidades335,13,COA,Francisco I. Madero (Chávez)
catalogos_localidades336,13,CHH,Manuel Ojinaga
catalogos_localidades337,13,CHP,Mapastepec
catalogos_localidades338,13,DIF,Ciudad de México
catalogos_localidades339,13,GRO,Cutzamala de Pinzón
catalogos_localidades340,13,GUA,Santiago Maravatío
catalogos_localidades341,13,HID,Tepeji del Rio
catalogos_localidades342,13,JAL,Tuxpan
catalogos_localidades343,13,MEX,Tepotzotlán
catalogos_localidades344,13,MIC,Paracho de Verduzco
catalogos_localidades345,13,NAY,Las Varas
catalogos_localidades346,13,NLE,Hualahuises
catalogos_localidades347,13,OAX,Bahias de Huatulco
catalogos_localidades348,13,PUE,Tecamachalco
catalogos_localidades349,13,SIN,Sinaloa de Leyva
catalogos_localidades350,13,SLP,Ciudad del Maíz
catalogos_localidades351,13,SON,Sonoita
catalogos_localidades352,13,TAB,Huimanguillo
catalogos_localidades353,13,TAM,Jaumave
catalogos_localidades354,13,VER,Papantla de Olarte
catalogos_localidades355,13,ZAC,Valparaíso
catalogos_localidades356,14,COA,Cuatro Ciénegas de Carranza
catalogos_localidades357,14,CHH,Bachíniva
catalogos_localidades358,14,CHP,Las Rosas
catalogos_localidades359,14,DIF,Ciudad de México
catalogos_localidades360,14,GRO,Coyuca de Catalán
catalogos_localidades361,14,GUA,Romita
catalogos_localidades362,14,HID,Cruz Azul
catalogos_localidades363,14,JAL,Tototlán
catalogos_localidades364,14,MEX,Tlalnepantla de Baz
catalogos_localidades365,14,MIC,Tangancícuaro de Arista
catalogos_localidades366,14,NAY,Xalisco
catalogos_localidades367,14,OAX,Putla Villa de Guerrero
catalogos_localidades368,14,PUE,Zacatlán
catalogos_localidades369,14,SIN,Mocorito
catalogos_localidades370,14,SLP,Cedral
catalogos_localidades371,14,SON,Magdalena de Kino
catalogos_localidades372,14,TAM,Ciudad Gustavo Díaz Ordaz
catalogos_localidades373,14,VER,Poza Rica de Hidalgo
catalogos_localidades374,14,ZAC,Luis Moya
catalogos_localidades375,15,COA,Nadadores
catalogos_localidades376,15,CHH,Saucillo
catalogos_localidades377,15,CHP,Chiapa de Corzo
catalogos_localidades378,15,DIF,Ciudad de México
catalogos_localidades379,15,GRO,Tierra Colorada
catalogos_localidades380,15,GUA,Tarandacuao
catalogos_localidades381,15,HID,Tepeapulco
catalogos_localidades382,15,JAL,San Diego de Alejandría
catalogos_localidades383,15,MEX,Santa Maria Tultepec
catalogos_localidades384,15,MIC,Maravatío de Ocampo
catalogos_localidades385,15,NAY,San pedro Lagunillas
catalogos_localidades386,15,NLE,Cadereyta Jiménez
catalogos_localidades387,15,OAX,Cosolapa
catalogos_localidades388,15,PUE,Xicotepec
catalogos_localidades389,15,SIN,Angostura
catalogos_localidades390,15,SLP,Tierra Nueva
catalogos_localidades391,15,TAM,Estación Manuel (Úrsulo Galván)
catalogos_localidades392,15,VER,San Andrés Tuxtla
catalogos_localidades393,15,ZAC,Moyahua de Estrada
catalogos_localidades394,16,COA,Ramos Arizpe
catalogos_localidades395,16,CHP,Cacahoatán
catalogos_localidades396,16,DIF,Ciudad de México
catalogos_localidades397,16,GRO,Coyuca de Benítez
catalogos_localidades398,16,GUA,Huanímaro
catalogos_localidades399,16,JAL,La Resolana
catalogos_localidades400,16,MEX,Tultitlán de Mariano Escobedo
catalogos_localidades401,16,MIC,Zinapécuaro de Figueroa
catalogos_localidades402,16,NAY,La peñita de Jaltemba
catalogos_localidades403,16,OAX,Tlacolula de Matamoros
catalogos_localidades404,16,PUE,Ciudad Serdán
catalogos_localidades405,16,SIN,San Blas
catalogos_localidades406,16,SLP,Villa de Reyes
catalogos_localidades407,16,TAM,Xicoténcatl
catalogos_localidades408,16,VER,Túxpam de Rodríguez Cano
catalogos_localidades409,16,ZAC,Sombrerete
catalogos_localidades410,17,COA,Nava
catalogos_localidades411,17,CHP,Ocozocoautla de Espinosa
catalogos_localidades412,17,GRO,Olinalá
catalogos_localidades413,17,GUA,Comonfort
catalogos_localidades414,17,JAL,Atotonilco el Alto
catalogos_localidades415,17,MEX,Cuautitlán
catalogos_localidades416,17,MIC,Puruándiro
catalogos_localidades417,17,NAY,Jala
catalogos_localidades418,17,NLE,Santiago
catalogos_localidades419,17,OAX,San Pablo Villa de Mitla
catalogos_localidades420,17,PUE,Amozoc
catalogos_localidades421,17,SIN,La Cruz
catalogos_localidades422,17,SLP,Fracción el Refugio
catalogos_localidades423,17,TAM,Ciudad Miguel Alemán
catalogos_localidades424,17,VER,Veracruz
catalogos_localidades425,17,ZAC,Jalpa
catalogos_localidades426,18,COA,Zaragoza
catalogos_localidades427,18,CHP,Cintalapa de Figueroa
catalogos_localidades428,18,GRO,Marquelia
catalogos_localidades429,18,GUA,Uriangato
catalogos_localidades430,18,JAL,Jalostotitlán
catalogos_localidades431,18,MEX,Ixtapaluca
catalogos_localidades432,18,MIC,Yurécuaro
catalogos_localidades433,18,NAY,Ahuacatlán
catalogos_localidades434,18,NLE,El cercado
catalogos_localidades435,18,OAX,Natividad
catalogos_localidades436,18,SIN,El rosario
catalogos_localidades437,18,SLP,Tamazunchale
catalogos_localidades438,18,TAM,Soto la Marina
catalogos_localidades439,18,VER,Tierra Blanca
catalogos_localidades440,18,ZAC,Loreto
catalogos_localidades441,19,COA,San Buenaventura
catalogos_localidades442,19,CHP,Pichucalco
catalogos_localidades443,19,GRO,Zumpango del Río
catalogos_localidades444,19,GUA,Pénjamo
catalogos_localidades445,19,JAL,Poncitlán
catalogos_localidades446,19,MEX,Texcoco de Mora
catalogos_localidades447,19,MIC,Huetamo de Núñez
catalogos_localidades448,19,OAX,Teotitlán de Flores Magón
catalogos_localidades449,19,SIN,Estación Naranjo
catalogos_localidades450,19,SLP,Santa María del Río
catalogos_localidades451,19,TAM,Ciudad Tula
catalogos_localidades452,19,VER,Cosamaloapan
catalogos_localidades453,19,ZAC,Juan Aldama
catalogos_localidades454,20,COA,Ciudad Melchor Múzquiz
catalogos_localidades455,20,CHP,Puerto Madero (San Benito)
catalogos_localidades456,20,GRO,San Luis de la Loma
catalogos_localidades457,20,GUA,Cuerámaro
catalogos_localidades458,20,JAL,Arandas
catalogos_localidades459,20,MEX,Toluca de Lerdo
catalogos_localidades460,20,MIC,Tacámbaro de Codallos
catalogos_localidades461,20,NLE,Anáhuac
catalogos_localidades462,20,OAX,Santa María Huatulco
catalogos_localidades463,20,SIN,Aguaruto
catalogos_localidades464,20,SLP,El Naranjo
catalogos_localidades465,20,TAM,Nueva Ciudad Guerrero
catalogos_localidades466,20,VER,Carlos A. Carrillo
catalogos_localidades467,21,COA,Viesca
catalogos_localidades468,21,CHP,Pijijiapan
catalogos_localidades469,21,GRO,Petatlán
catalogos_localidades470,21,GUA,Empalme Escobedo (Escobedo)
catalogos_localidades471,21,JAL,Talpa de Allende
catalogos_localidades472,21,MEX,Valle de Chalco Solidaridad
catalogos_localidades473,21,MIC,Ciudad Lázaro Cárdenas
catalogos_localidades474,21,NLE,García
catalogos_localidades475,21,OAX,San Juan Bautista Cuicatlán
catalogos_localidades476,21,SIN,Cosalá
catalogos_localidades477,21,TAM,Valle Hermoso
catalogos_localidades478,21,VER,Pánuco
catalogos_localidades479,22,COA,Morelos
catalogos_localidades480,22,CHP,Reforma
catalogos_localidades481,22,GRO,La Unión
catalogos_localidades482,22,GUA,San Luis de la Paz
catalogos_localidades483,22,JAL,Etzatlán
catalogos_localidades484,22,MEX,Tejupilco de Hidalgo
catalogos_localidades485,22,MIC,Las Guacamayas
catalogos_localidades486,22,NLE,Ciudad Benito Juárez
catalogos_localidades487,22,OAX,Villa Sola de Vega
catalogos_localidades488,22,SIN,San Ignacio
catalogos_localidades489,22,VER,Tampico Alto
catalogos_localidades490,23,COA,Arteaga
catalogos_localidades491,23,CHP,Huixtla
catalogos_localidades492,23,GRO,San Luis San Pedro
catalogos_localidades493,23,GUA,Valle de Santiago
catalogos_localidades494,23,JAL,Sayula
catalogos_localidades495,23,MEX,Chalco de Díaz Covarrubias
catalogos_localidades496,23,MIC,Jiquilpan de Juárez
catalogos_localidades497,23,OAX,Ocotlán de Morelos
catalogos_localidades498,23,SIN,Topolobampo
catalogos_localidades499,23,VER,Tempoal de Sánchez
catalogos_localidades500,24,COA,Allende
catalogos_localidades501,24,CHP,Motozintla de Mendoza
catalogos_localidades502,24,GRO,Teloloapan
catalogos_localidades503,24,GUA,Abasolo
catalogos_localidades504,24,JAL,Ahualulco de Mercado
catalogos_localidades505,24,MEX,Amatepec
catalogos_localidades506,24,MIC,Tuxpan
catalogos_localidades507,24,OAX,Villa de Zaachila
catalogos_localidades508,24,SIN,Lic. Benito Juárez (Campo Gobierno)
catalogos_localidades509,24,VER,Tantoyuca
catalogos_localidades510,25,CHP,Acala
catalogos_localidades511,25,GRO,Técpan de Galeana
catalogos_localidades512,25,GUA,Rincón de Tamayo
catalogos_localidades513,25,JAL,Autlán de Navarro
catalogos_localidades514,25,MIC,Cotija de la Paz
catalogos_localidades515,25,OAX,Miahuatlán de Porfirio Díaz
catalogos_localidades516,25,VER,Gutiérrez Zamora
catalogos_localidades517,26,GRO,Huitzuco
catalogos_localidades518,26,GUA,Villagrán
catalogos_localidades519,26,JAL,Magdalena
catalogos_localidades520,26,MEX,Melchor Ocampo
catalogos_localidades521,26,MIC,Nueva Italia de Ruiz
catalogos_localidades522,26,OAX,Unión Hidalgo
catalogos_localidades523,26,VER,Platón Sánchez
catalogos_localidades524,27,GRO,Tixtla de Guerrero
catalogos_localidades525,27,GUA,Yuriria
catalogos_localidades526,27,JAL,San Julián
catalogos_localidades527,27,MEX,San Vicente Chicoloapan de Juárez
catalogos_localidades528,27,MIC,Cuitzeo del Porvenir
catalogos_localidades529,27,OAX,El Camarón
catalogos_localidades530,27,VER,Juan Rodríguez Clara
catalogos_localidades531,28,GRO,Tepecoacuilco de Trujano
catalogos_localidades532,28,GUA,Apaseo el Grande
catalogos_localidades533,28,JAL,Cocula
catalogos_localidades534,28,MEX,Capulhuac
catalogos_localidades535,28,OAX,San Pedro Mixtepec -Dto. 22-
catalogos_localidades536,28,VER,Huatusco de Chicuellar
catalogos_localidades537,29,GRO,San Marcos
catalogos_localidades538,29,GUA,Purísima de Bustos
catalogos_localidades539,29,JAL,El Grullo
catalogos_localidades540,29,MEX,Juchitepec de Mariano Riva Palacio
catalogos_localidades541,29,OAX,Santa Cruz Itundujia
catalogos_localidades542,29,VER,Ixtaczoquitlán
catalogos_localidades543,30,GRO,Azoyú
catalogos_localidades544,30,GUA,Salvatierra
catalogos_localidades545,30,JAL,San Miguel el Alto
catalogos_localidades546,30,MEX,Tequixquiac
catalogos_localidades547,30,OAX,Chahuites
catalogos_localidades548,30,VER,Río Blanco
catalogos_localidades549,31,GRO,Tlapehuala
catalogos_localidades550,31,GUA,Marfil
catalogos_localidades551,31,JAL,Tala
catalogos_localidades552,31,MEX,Xonacatlán
catalogos_localidades553,31,OAX,Heroica Ciudad de Ejutla de Crespo
catalogos_localidades554,31,VER,Isla
catalogos_localidades555,32,GRO,San Luis Acatlán
catalogos_localidades556,32,GUA,San José Iturbide
catalogos_localidades557,32,JAL,La Barca
catalogos_localidades558,32,MEX,San Mateo Atenco
