id,clave_identificacion,descripcion,clave_transporte
catalogos_estaciones57,PM057,San Blas,02
catalogos_estaciones58,PM058,Nuevo Vallarta,02
catalogos_estaciones59,PM059,Cruz de Huanacaxtle,02
catalogos_estaciones60,PM060,Chacala,02
catalogos_estaciones61,PM061,Salina Cruz,02
catalogos_estaciones62,PM062,Bahías de Huatulco,02
catalogos_estaciones63,PM063,Puerto Escondido,02
catalogos_estaciones64,PM064,Puerto Angel,02
catalogos_estaciones65,PM065,Puerto Juárez,02
catalogos_estaciones66,PM066,Isla Mujeres,02
catalogos_estaciones67,PM067,Cancún,02
catalogos_estaciones68,PM068,Puerto Morelos,02
catalogos_estaciones69,PM069,Playa del Carmen,02
catalogos_estaciones70,PM070,Punta Venado,02
catalogos_estaciones71,PM071,Puerta Aventuras,02
catalogos_estaciones72,PM072,Punta Allen,02
catalogos_estaciones73,PM073,Majahual,02
catalogos_estaciones74,PM074,La Aguada,02
catalogos_estaciones75,PM075,Xcalac,02
catalogos_estaciones76,PM076,Chetumal,02
catalogos_estaciones77,PM077,Holbox,02
catalogos_estaciones78,PM078,Mazatlán,02
catalogos_estaciones79,PM079,Topolobampo,02
catalogos_estaciones80,PM080,Altata,02
catalogos_estaciones81,PM081,El Sábalo,02
catalogos_estaciones82,PM082,Escuinapa,02
catalogos_estaciones83,PM083,Teacapan,02
catalogos_estaciones84,PM084,Guaymas,02
catalogos_estaciones85,PM085,Puerto Peñasco,02
catalogos_estaciones86,PM086,Golfo de Santa Clara,02
catalogos_estaciones87,PM087,Bahía Kino,02
catalogos_estaciones88,PM088,Yavaros,02
catalogos_estaciones89,PM089,Puerto Libertad,02
catalogos_estaciones90,PM090,General Rodolfo Sánchez Toboada,02
catalogos_estaciones91,PM091,San Carlos,02
catalogos_estaciones92,PM092,Dos Bocas,02
catalogos_estaciones93,PM093,Frontera,02
catalogos_estaciones94,PM094,Chiltepec,02
catalogos_estaciones95,PM095,Sanchez Magallanes,02
catalogos_estaciones96,PM096,Puerto Altamira,02
catalogos_estaciones97,PM097,Puerto Tampico,02
catalogos_estaciones98,PM098,Puerto Matamoros,02
catalogos_estaciones99,PM099,La Pesca,02
catalogos_estaciones100,PM100,Puerto de Veracruz,02
catalogos_estaciones101,PM101,Tuxpan,02
catalogos_estaciones102,PM102,Coatzacoalcos,02
catalogos_estaciones103,PM103,Pajaritos,02
catalogos_estaciones104,PM104,Alvarado,02
catalogos_estaciones105,PM105,Tlacotalpan,02
catalogos_estaciones106,PM106,Nautla,02
catalogos_estaciones107,PM107,Tecolutla,02
catalogos_estaciones108,PM108,Puerto Progreso,02
catalogos_estaciones109,PM109,Celestún,02
catalogos_estaciones110,PM110,Sisal,02
catalogos_estaciones111,PM111,Chuburná,02
catalogos_estaciones112,PM112,Yucalpetén,02
catalogos_estaciones113,PM113,Telchac,02
catalogos_estaciones114,PM114,Chabihau,02
catalogos_estaciones115,PM115,Dzilam de Bravo,02
catalogos_estaciones116,PM116,San Felipe,02
catalogos_estaciones117,PM117,Río Lagartos,02
catalogos_estaciones118,PM118,Las Coloradas,02
catalogos_estaciones119,PM119,El Cuyo,02
catalogos_estaciones120,PM120,Extranjera,02
catalogos_estaciones121,EA001,Konrad Adenauer,03
catalogos_estaciones122,EA002,Rhein-Ruhr,03
catalogos_estaciones123,EA003,Münster/Osnabrück,03
catalogos_estaciones124,EA004,Rhein-Main,03
catalogos_estaciones125,EA005,Hannover,03
catalogos_estaciones126,EA006,Fuhlsbüttel,03
catalogos_estaciones127,EA007,Frankfurt-Hahn,03
catalogos_estaciones128,EA008,Franz Josef Strauss,03
catalogos_estaciones129,EA009,Nürnberg,03
catalogos_estaciones130,EA010,Prince Mohammad Bin Abdulaziz,03
catalogos_estaciones131,EA011,Ingeniero Aeronáutico Ambrosio L.V. Taravella,03
catalogos_estaciones132,EA012,Ministro Pistarini,03
catalogos_estaciones133,EA013,Astor Piazzolla,03
catalogos_estaciones134,EA014,Gobernador Francisco Gabrielli,03
catalogos_estaciones135,EA015,Teniente General Benjamin Matienzo,03
catalogos_estaciones136,EA016,Vienna,03
catalogos_estaciones137,EA017,Grand Bahamas,03
catalogos_estaciones138,EA018,Lynden Pindling,03
catalogos_estaciones139,EA019,San Salvador,03
catalogos_estaciones140,EA020,Grantley Adams,03
catalogos_estaciones141,EA021,Brussels,03
catalogos_estaciones142,EA022,Liege,03
catalogos_estaciones143,EA023,Ostend-Brugge,03
catalogos_estaciones144,EA024,Philip S.W. Goldson,03
catalogos_estaciones145,EA025,Jorge Wilsterman,03
catalogos_estaciones146,EA026,El Trompillo,03
catalogos_estaciones147,EA027,Viru Viru,03
catalogos_estaciones148,EA028,Presidente Juscelino Kubitschek,03
catalogos_estaciones149,EA029,Adalberto Mendes Da Silva,03
catalogos_estaciones150,EA030,Carutapera,03
catalogos_estaciones151,EA031,Afonso Pena,03
catalogos_estaciones152,EA032,Pinto Martins,03
catalogos_estaciones153,EA033,Antonio Carlos Jobim,03
catalogos_estaciones154,EA034,Governador Andre Franco Montoro,03
catalogos_estaciones155,EA035,Manaus,03
catalogos_estaciones156,EA036,Santos Dumont,03
catalogos_estaciones157,EA037,Salgado Filho,03
catalogos_estaciones158,EA038,Guararapes,03
catalogos_estaciones159,EA039,Santos Dumont,03
catalogos_estaciones160,EA040,Professor Urbano Ernesto Stumpf,03
catalogos_estaciones161,EA041,Deputado Luis Eduardo Magalhaes,03
catalogos_estaciones162,EA042,Viracopos-Campinas,03
catalogos_estaciones163,EA043,Gladman Point,03
catalogos_estaciones164,EA044,Sault Ste. Marie,03
catalogos_estaciones165,EA045,Canadian Forces Base Shearwater,03
catalogos_estaciones166,EA046,Canadian Forces Base Bagotville,03
catalogos_estaciones167,EA047,Brandon Municipal,03
catalogos_estaciones168,EA048,Edmonton,03
catalogos_estaciones169,EA049,Fredericton,03
catalogos_estaciones170,EA050,John C. Munro,03
catalogos_estaciones171,EA051,Robert L. Stanfield,03
catalogos_estaciones172,EA052,Region Of Waterloo,03
catalogos_estaciones173,EA053,Kelowna,03
catalogos_estaciones174,EA054,Mary's Harbour,03
catalogos_estaciones175,EA055,Fort Mcmurray,03
catalogos_estaciones176,EA056,Montreal-Mirabel,03
catalogos_estaciones177,EA057,Macdonald-Cartier,03
catalogos_estaciones178,EA058,Jean Lesage,03
catalogos_estaciones179,EA059,Windsor,03
catalogos_estaciones180,EA060,Lethbridge County,03
catalogos_estaciones181,EA061,Greater Moncton,03
catalogos_estaciones182,EA062,Canadian Forces Base Comox,03
catalogos_estaciones183,EA063,Regina,03
catalogos_estaciones184,EA064,Thunder Bay,03
catalogos_estaciones185,EA065,Gander,03
catalogos_estaciones186,EA066,Sudbury,03
catalogos_estaciones187,EA067,Saint John,03
catalogos_estaciones188,EA068,Billy Bishop,03
catalogos_estaciones189,EA069,Pierre Elliott Trudeau,03
catalogos_estaciones190,EA070,Rouyn-Noranda,03
catalogos_estaciones191,EA071,Vancouver,03
catalogos_estaciones192,EA072,James Armstrong Richardson,03
catalogos_estaciones193,EA073,John G. Diefenbaker,03
catalogos_estaciones194,EA074,Prince George,03
catalogos_estaciones195,EA075,London,03
catalogos_estaciones196,EA076,Abbotsford,03
catalogos_estaciones197,EA077,Calgary,03
catalogos_estaciones198,EA078,Victoria,03
catalogos_estaciones199,EA079,Canadian Forces Base Goose Bay,03
catalogos_estaciones200,EA080,St. John's,03
catalogos_estaciones201,EA081,Lester B. Pearson,03
catalogos_estaciones202,EA082,Andres Sabella,03
catalogos_estaciones203,EA083,Carriel Sur,03
catalogos_estaciones204,EA084,Diego Aracena,03
catalogos_estaciones205,EA085,Arturo Merino Benítez,03
catalogos_estaciones206,EA086,Baiyun,03
catalogos_estaciones207,EA087,Changle,03
catalogos_estaciones208,EA088,Xiaoshan,03
catalogos_estaciones209,EA089,Lishe,03
catalogos_estaciones210,EA090,Nanjing Lukou,03
catalogos_estaciones211,EA091,Capital,03
catalogos_estaciones212,EA092,Pudong,03
catalogos_estaciones213,EA093,Gaoqi,03
catalogos_estaciones214,EA094,Gustavo Rojas Pinilla,03
catalogos_estaciones215,EA095,Ernesto Cortissoz,03
catalogos_estaciones216,EA096,El Nuevo Dorado,03
catalogos_estaciones217,EA097,Alfonso Bonilla Aragón,03
catalogos_estaciones218,EA098,Rafael Nuñez,03
catalogos_estaciones219,EA099,Jose Maria Córdova,03
catalogos_estaciones220,EA100,Montelibano,03
catalogos_estaciones221,EA101,Daniel Oduber Quiros,03
catalogos_estaciones222,EA102,Juan Santamaría,03
catalogos_estaciones223,EA103,Jardines Del Rey,03
catalogos_estaciones224,EA104,Ignacio Agramonte,03
catalogos_estaciones225,EA105,Vilo Acuña,03
catalogos_estaciones226,EA106,Jose Martí,03
catalogos_estaciones227,EA107,Frank País,03
catalogos_estaciones228,EA108,Antonio Maceo,03
catalogos_estaciones229,EA109,Abel Santamaría,03
catalogos_estaciones230,EA110,Juan Gualberto Gomez,03
catalogos_estaciones231,EA111,Aalborg,03
catalogos_estaciones232,EA112,Billund,03
catalogos_estaciones233,EA113,København,03
catalogos_estaciones234,EA114,Mariscal Lamar,03
catalogos_estaciones235,EA115,Jose Joaquín De Olmdeo,03
catalogos_estaciones236,EA116,Eloy Alfaro,03
catalogos_estaciones237,EA117,General Ulpiano Páez,03
catalogos_estaciones238,EA118,Mitad Del Mundo,03
catalogos_estaciones239,EA119,Monseñor Oscar Arnulfo Romero,03
catalogos_estaciones240,EA120,Al Maktoum,03
catalogos_estaciones241,EA121,El Prat,03
catalogos_estaciones242,EA122,Adolfo Suarez Madrid–Barajas,03
catalogos_estaciones243,EA123,Son Sant Joan,03
catalogos_estaciones244,EA124,Manises,03
catalogos_estaciones245,EA125,Zaragoza,03
catalogos_estaciones246,EA126,Albuquerque International,03
catalogos_estaciones247,EA127,Atlantic City International,03
catalogos_estaciones248,EA128,Addison,03
catalogos_estaciones249,EA129,Joint Base Andrews,03
catalogos_estaciones250,EA130,Alexandria International,03
catalogos_estaciones251,EA131,Fort Worth Alliance,03
catalogos_estaciones252,EA132,Albany International,03
catalogos_estaciones253,EA133,Waterloo Regional,03
catalogos_estaciones254,EA134,Rick Husband Amarillo International,03
catalogos_estaciones255,EA135,Anniston Regional,03
catalogos_estaciones256,EA136,Ted Stevens,03
catalogos_estaciones257,EA137,Talladega Municipal,03
catalogos_estaciones258,EA138,Hartsfield - Jackson Atlanta International,03
catalogos_estaciones259,EA139,Appleton International,03
catalogos_estaciones260,EA140,Augusta State,03
catalogos_estaciones261,EA141,Austin-Bergstrom International,03
catalogos_estaciones262,EA142,Asheville Regional,03
catalogos_estaciones263,EA143,Phoenix-Mesa Gateway,03
catalogos_estaciones264,EA144,Kalamazoo/Battle Creek International,03
catalogos_estaciones265,EA145,Bradley International,03
catalogos_estaciones266,EA146,Laurence G Hanscom,03
catalogos_estaciones267,EA147,Boeing Field/King County International,03
catalogos_estaciones268,EA148,Meadows Field,03
catalogos_estaciones269,EA149,Bangor International,03
catalogos_estaciones270,EA150,Birmingham-Shuttlesworth,03
catalogos_estaciones271,EA151,Biggs,03
catalogos_estaciones272,EA152,West Michigan Regional,03
catalogos_estaciones273,EA153,Central Il Regional Airport,03
catalogos_estaciones274,EA154,Nashville International,03
catalogos_estaciones275,EA155,General Edward Lawrence Logan International,03
catalogos_estaciones276,EA156,Rafael Hernandez,03
catalogos_estaciones277,EA157,Brownsville/South Padre Island International,03
catalogos_estaciones278,EA158,W K Kellogg,03
catalogos_estaciones279,EA159,Bert Mooney,03
catalogos_estaciones280,EA160,Buffalo Niagara International,03
catalogos_estaciones281,EA161,Warren County Regional,03
catalogos_estaciones282,EA162,Baltimore/Washington International Thurgood Marshall,03
catalogos_estaciones283,EA163,Columbia Metropolitan,03
catalogos_estaciones284,EA164,Akron-Canton Regional,03
catalogos_estaciones285,EA165,Lovell,03
catalogos_estaciones286,EA166,Charleston International,03
catalogos_estaciones287,EA167,The Eastern Iowa,03
catalogos_estaciones288,EA168,Cleveland-Hopkins International,03
catalogos_estaciones289,EA169,Easterwood,03
catalogos_estaciones290,EA170,Charlotte/Douglas International,03
catalogos_estaciones291,EA171,John Glenn Columbus International,03
catalogos_estaciones292,EA172,University Of Illinois,03
catalogos_estaciones293,EA173,Aeropuerto de Columbia,03
catalogos_estaciones294,EA174,Columbia Regional,03
catalogos_estaciones295,EA175,Corpus Christi International,03
catalogos_estaciones296,EA176,Columbus,03
catalogos_estaciones297,EA177,Cincinnati/Northern Kentucky International,03
catalogos_estaciones298,EA178,Dallas Love,03
catalogos_estaciones299,EA179,James M Cox Dayton International,03
catalogos_estaciones300,EA180,Ronald Reagan,03
catalogos_estaciones301,EA181,Denver International,03
catalogos_estaciones302,EA182,Dallas-Fort Worth International,03
catalogos_estaciones303,EA183,De Kalb Taylor Municipal,03
catalogos_estaciones304,EA184,Duluth International,03
catalogos_estaciones305,EA185,Dupage,03
catalogos_estaciones306,EA186,Del Rio International,03
catalogos_estaciones307,EA187,Des Moines International,03
catalogos_estaciones308,EA188,Denton Enterprise,03
catalogos_estaciones309,EA189,Detroit Metropolitan,03
catalogos_estaciones310,EA190,Eagle County Regional,03
catalogos_estaciones311,EA191,South Arkansas Regional,03
catalogos_estaciones312,EA192,El Paso International,03
catalogos_estaciones313,EA193,Evansville Regional,03
catalogos_estaciones314,EA194,Newark Liberty International,03
catalogos_estaciones315,EA195,Héctor International,03
catalogos_estaciones316,EA196,Fresno Yosemite International,03
catalogos_estaciones317,EA197,Frederick Regional,03
catalogos_estaciones318,EA198,Fort Lauderdale,03
catalogos_estaciones319,EA199,Bishop International,03
catalogos_estaciones320,EA200,Topeka Regional,03
catalogos_estaciones321,EA201,Joe Foss,03
catalogos_estaciones322,EA202,Fort Wayne International,03
catalogos_estaciones323,EA203,Greeneville-Greene County Municipal,03
catalogos_estaciones324,EA204,Grand Forks International,03
catalogos_estaciones325,EA205,Grand Junction Regional,03
catalogos_estaciones326,EA206,Arlington Municipal,03
catalogos_estaciones327,EA207,Greenville Mid-Delta,03
catalogos_estaciones328,EA208,Central Nebraska Regional,03
catalogos_estaciones329,EA209,Gordon Municipal,03
catalogos_estaciones330,EA210,Gerald R Ford International,03
catalogos_estaciones331,EA211,Piedmont Triad International,03
catalogos_estaciones332,EA212,Greenville Spartanburg International,03
catalogos_estaciones333,EA213,Donaldson,03
catalogos_estaciones334,EA214,Gary/Chicago International,03
catalogos_estaciones335,EA215,Hagerstown Regional,03
catalogos_estaciones336,EA216,Hawkins,03
catalogos_estaciones337,EA217,Hickory Regional,03
catalogos_estaciones338,EA218,Helena Regional,03
catalogos_estaciones339,EA219,Daniel K Inouye International,03
catalogos_estaciones340,EA220,William P Hobby,03
catalogos_estaciones341,EA221,Valley International,03
catalogos_estaciones342,EA222,Boone County,03
catalogos_estaciones343,EA223,Carl T Jones Field,03
catalogos_estaciones344,EA224,Tri-State/Milton J Ferguson,03
catalogos_estaciones345,EA225,Terre Haute Regional,03
catalogos_estaciones346,EA226,Washington Dulles,03
catalogos_estaciones347,EA227,Niagara Falls International,03
catalogos_estaciones348,EA228,George Bush Intercontinental,03
catalogos_estaciones349,EA229,Dwight D Eisenhower National,03
catalogos_estaciones350,EA230,Ankeny Regional,03
catalogos_estaciones351,EA231,Wilmington International,03
catalogos_estaciones352,EA232,Wilmington Air Park,03
catalogos_estaciones353,EA233,Immokalee Regional,03
catalogos_estaciones354,EA234,Indianapolis International,03
catalogos_estaciones355,EA235,Jackson Hole,03
catalogos_estaciones356,EA236,Jackson-Evers International,03
catalogos_estaciones357,EA237,Jacksonville International,03
catalogos_estaciones358,EA238,Jefferson City Memorial,03
catalogos_estaciones359,EA239,John F Kennedy International,03
catalogos_estaciones360,EA240,Capital Region International,03
catalogos_estaciones361,EA241,Mccarran International,03
catalogos_estaciones362,EA242,Los Angeles International,03
catalogos_estaciones363,EA243,Lubbock Preston Smith International,03
catalogos_estaciones364,EA244,Rickenbacker International,03
catalogos_estaciones365,EA245,Blue Grass,03
catalogos_estaciones366,EA246,Lafayette Regional,03
catalogos_estaciones367,EA247,Laguardia,03
catalogos_estaciones368,EA248,Long Beach,03
catalogos_estaciones369,EA249,Lagrange-Callaway,03
catalogos_estaciones370,EA250,Bill And Hillary Clinton National,03
catalogos_estaciones371,EA251,Facility,03
catalogos_estaciones372,EA252,Louisville Winston County,03
catalogos_estaciones373,EA253,Bowman,03
catalogos_estaciones374,EA254,Laredo International,03
catalogos_estaciones375,EA255,La Crosse Regional,03
catalogos_estaciones376,EA256,Cincinnati Municipal,03
catalogos_estaciones377,EA257,Lawrenceville-Vincennes International,03
catalogos_estaciones378,EA258,Gwinnett County,03
catalogos_estaciones379,EA259,Mbs International,03
catalogos_estaciones380,EA260,Kansas City International,03
catalogos_estaciones381,EA261,Orlando International,03
catalogos_estaciones382,EA262,Chicago Midway International,03
catalogos_estaciones383,EA263,Key,03
catalogos_estaciones384,EA264,Memphis International,03
catalogos_estaciones385,EA265,Mansfield Lahm Regional,03
catalogos_estaciones386,EA266,Mcallen Miller International,03
catalogos_estaciones387,EA267,Michigan City Municipal,03
catalogos_estaciones388,EA268,Montgomery Regional,03
catalogos_estaciones389,EA269,Miami International,03
catalogos_estaciones390,EA270,Charles B Wheeler Downtown,03
catalogos_estaciones391,EA271,General Mitchell International,03
catalogos_estaciones392,EA272,Quad City International,03
catalogos_estaciones393,EA273,Mobile Regional,03
catalogos_estaciones394,EA274,Smyrna,03
catalogos_estaciones395,EA275,Maury County,03
catalogos_estaciones396,EA276,Dane County Regional,03
catalogos_estaciones397,EA277,Minneapolis-St. Paul International,03
catalogos_estaciones398,EA278,Louis Armstrong New Orleans International,03
catalogos_estaciones399,EA279,Montrose Regional,03
catalogos_estaciones400,EA280,Myrtle Beach International,03
catalogos_estaciones401,EA281,Metropolitan Oakland International,03
catalogos_estaciones402,EA282,Ogden-Hinckley,03
catalogos_estaciones403,EA283,Will Rogers,03
catalogos_estaciones404,EA284,Kokomo Municipal,03
catalogos_estaciones405,EA285,Nogales,03
catalogos_estaciones406,EA286,Eppley,03
catalogos_estaciones407,EA287,Ontario International,03
catalogos_estaciones408,EA288,Miami-Opa Locka Executive,03
catalogos_estaciones409,EA289,Chicago O'hare International,03
catalogos_estaciones410,EA290,Norfolk International,03
catalogos_estaciones411,EA291,Orlando Executive,03
catalogos_estaciones412,EA292,Oscoda-Wurtsmith,03
catalogos_estaciones413,EA293,Ottumwa Regional,03
catalogos_estaciones414,EA294,Palm Beach International,03
catalogos_estaciones415,EA295,Portage Creek,03
catalogos_estaciones416,EA296,Portland International,03
catalogos_estaciones417,EA297,Newport News/Williamsburg International,03
catalogos_estaciones418,EA298,Philadelphia International,03
catalogos_estaciones419,EA299,Phoenix Sky Harbor,03
catalogos_estaciones420,EA300,General Downing - Peoria International,03
catalogos_estaciones421,EA301,Pittsburgh International,03
catalogos_estaciones422,EA302,Mid-Ohio Valley Regional,03
catalogos_estaciones423,EA303,Pease International,03
catalogos_estaciones424,EA304,Palm Springs International,03
catalogos_estaciones425,EA305,Oakland County International,03
catalogos_estaciones426,EA306,Theodore Francis Green,03
catalogos_estaciones427,EA307,Portland International,03
catalogos_estaciones428,EA308,Vail Van Service,03
catalogos_estaciones429,EA309,Ellsworth Air Force Base,03
catalogos_estaciones430,EA310,Raleigh-Durham International,03
catalogos_estaciones431,EA311,Chicago/Rockford International,03
catalogos_estaciones432,EA312,Richmond International,03
catalogos_estaciones433,EA313,Reno/Tahoe International,03
catalogos_estaciones434,EA314,Greater Rochester International,03
catalogos_estaciones435,EA315,Rochester International,03
catalogos_estaciones436,EA316,Southwest Florida International,03
catalogos_estaciones437,EA317,Rocky Mount-Wilson Regional,03
catalogos_estaciones438,EA318,Santa Fe Municipal,03
catalogos_estaciones439,EA319,San Diego International,03
catalogos_estaciones440,EA320,San Antonio International,03
catalogos_estaciones441,EA321,San Bernardino International,03
catalogos_estaciones442,EA322,South Bend International,03
catalogos_estaciones443,EA323,Louisville International,03
catalogos_estaciones444,EA324,Brown Field Municipal,03
catalogos_estaciones445,EA325,Seattle-Tacoma International,03
catalogos_estaciones446,EA326,Orlando Sanford International,03
catalogos_estaciones447,EA327,San Francisco International,03
catalogos_estaciones448,EA328,Sugar Land Regional,03
catalogos_estaciones449,EA329,Stuttgart Municipal,03
catalogos_estaciones450,EA330,Shreveport Regional,03
catalogos_estaciones451,EA331,San José International,03
catalogos_estaciones452,EA332,Luis Muñoz Marin,03
catalogos_estaciones453,EA333,Kelly,03
catalogos_estaciones454,EA334,Griffing Sandusky,03
catalogos_estaciones455,EA335,Salt Lake City International,03
catalogos_estaciones456,EA336,Sacramento International,03
catalogos_estaciones457,EA337,Santa Monica Municipal,03
catalogos_estaciones458,EA338,John Wayne Airport,03
catalogos_estaciones459,EA339,St. Louis Lambert International,03
catalogos_estaciones460,EA340,Spirit Of St. Louis,03
catalogos_estaciones461,EA341,Statesville Regional,03
catalogos_estaciones462,EA342,Stewart International,03
catalogos_estaciones463,EA343,Catalina Island,03
catalogos_estaciones464,EA344,Syracuse Hancock International,03
catalogos_estaciones465,EA345,Tuscaloosa Regional,03
catalogos_estaciones466,EA346,Person County,03
catalogos_estaciones467,EA347,Teterboro,03
catalogos_estaciones468,EA348,Tullahoma Regional,03
catalogos_estaciones469,EA349,Toledo Express,03
catalogos_estaciones470,EA350,Tampa International,03
catalogos_estaciones471,EA351,Raleigh Exec Jetport,03
catalogos_estaciones472,EA352,Tulsa International,03
catalogos_estaciones473,EA353,Tupelo Regional,03
catalogos_estaciones474,EA354,Tucson International,03
catalogos_estaciones475,EA355,Texarkana Regional,03
catalogos_estaciones476,EA356,Mcghee Tyson,03
catalogos_estaciones477,EA357,Quincy Regional,03
catalogos_estaciones478,EA358,University-Oxford,03
catalogos_estaciones479,EA359,Van Nuys,03
catalogos_estaciones480,EA360,Mcguire,03
catalogos_estaciones481,EA361,Willow Run,03
catalogos_estaciones482,EA362,Youngstown-Warren Regional,03
catalogos_estaciones483,EA363,Yuma International,03
catalogos_estaciones484,EA364,Vantaa,03
catalogos_estaciones485,EA365,Euroairport Basel Mulhouse Freiburg,03
catalogos_estaciones486,EA366,Felix Eboue,03
catalogos_estaciones487,EA367,Charles De Gaulle,03
catalogos_estaciones488,EA368,Euroairport Basel Mulhouse Freiburg,03
catalogos_estaciones489,EA369,Martinique Aime Cesaire,03
catalogos_estaciones490,EA370,Lyon St-Exupery,03
catalogos_estaciones491,EA371,Euroairport Basel Mulhouse Freiburg,03
catalogos_estaciones492,EA372,Marseille Provence,03
catalogos_estaciones493,EA373,Côte D'azur,03
catalogos_estaciones494,EA374,Atlantique,03
catalogos_estaciones495,EA375,Orly,03
catalogos_estaciones496,EA376,Le Raizet,03
catalogos_estaciones497,EA377,Toulouse Blagnac,03
catalogos_estaciones498,EA378,Mundo Maya,03
catalogos_estaciones499,EA379,La Aurora,03
catalogos_estaciones500,EA380,Antoine-Simon,03
catalogos_estaciones501,EA381,Toussaint Louverture,03
catalogos_estaciones502,EA382,Goloson,03
catalogos_estaciones503,EA383,Juan Manuel Gálvez,03
catalogos_estaciones504,EA384,Ramón Villeda Morales,03
catalogos_estaciones505,EA385,Toncontin,03
catalogos_estaciones506,EA386,Chek Lap Kok,03
catalogos_estaciones507,EA387,Budapest,03
catalogos_estaciones508,EA388,Vadodara,03
catalogos_estaciones509,EA389,Dublín,03
catalogos_estaciones510,EA390,Shannon,03
catalogos_estaciones511,EA391,Keflavik,03
catalogos_estaciones512,EA392,Owen Roberts,03
catalogos_estaciones513,EA393,Ben Gurion,03
catalogos_estaciones514,EA394,Bologna,03
catalogos_estaciones515,EA395,Cagliari-Elmas,03
catalogos_estaciones516,EA396,Ciampino-Giovan Battista Pastine,03
catalogos_estaciones517,EA397,Leonardo Da Vinci,03
catalogos_estaciones518,EA398,Genoa Cristoforo Colombo,03
catalogos_estaciones519,EA399,Malpensa,03
catalogos_estaciones520,EA400,Caselle,03
catalogos_estaciones521,EA401,Marco Polo,03
catalogos_estaciones522,EA402,Villafranca,03
catalogos_estaciones523,EA403,Norman Manley,03
catalogos_estaciones524,EA404,Sangster,03
catalogos_estaciones525,EA405,New Sapporo,03
catalogos_estaciones526,EA406,Hachijojima,03
catalogos_estaciones527,EA407,Kansai,03
catalogos_estaciones528,EA408,Narita,03
catalogos_estaciones529,EA409,Sendai,03
catalogos_estaciones530,EA410,Luxembourg,03
catalogos_estaciones531,EA411,Licenciado Jesus Teran Peredo,03
catalogos_estaciones532,EA412,General Alberto L. Salinas C.,03
catalogos_estaciones533,EA413,General Rodolfo Sanchez Taboada,03
catalogos_estaciones534,EA414,General Abelardo L. Rodriguez,03
catalogos_estaciones535,EA415,Cabo San Lucas,03
catalogos_estaciones536,EA416,General Manuel Marquez De Leon,03
catalogos_estaciones537,EA417,Loreto,03
catalogos_estaciones538,EA418,Los Cabos,03
catalogos_estaciones539,EA419,Ciudad Del Carmen,03
