id,c_claveunidad,nombre
catalogos_clave_unidad43,16,Tambor de 115 kilogramos
catalogos_clave_unidad44,17,Tambor de cien libras
catalogos_clave_unidad45,1A,Milla de carros
catalogos_clave_unidad46,1B,Recuento de automóviles
catalogos_clave_unidad47,1C,Conteo de locomotoras
catalogos_clave_unidad48,1D,Caboose count
catalogos_clave_unidad49,1E,Coche vacío
catalogos_clave_unidad50,1F,Milla de tren
catalogos_clave_unidad51,1G,Galón del uso del combustible (los EUA)
catalogos_clave_unidad52,1H,Milla de caboose
catalogos_clave_unidad53,1I, Tipo de interés fijo
catalogos_clave_unidad54,1J,Tonelada milla
catalogos_clave_unidad55,1K,Milla locomotora
catalogos_clave_unidad56,1L,Recuento total de automóviles
catalogos_clave_unidad57,1M,Milla total del coche
catalogos_clave_unidad58,1X,Cuarto de milla
catalogos_clave_unidad59,20, Contenedores de veinte pies
catalogos_clave_unidad60,21, Contenedor de cuarenta pies
catalogos_clave_unidad61,22,Decilitro por gramo
catalogos_clave_unidad62,23,Gramo por centímetro cúbico
catalogos_clave_unidad63,24,Libra teórica
catalogos_clave_unidad64,25,Gramo por centímetro cuadrado
catalogos_clave_unidad65,27,Tonelada teórica
catalogos_clave_unidad66,28,Kilogramo por metro cuadrado
catalogos_clave_unidad67,2A,Radián por segundo
catalogos_clave_unidad68,2B,Radián por segundo cuadrado
catalogos_clave_unidad69,2C,Roentgen
catalogos_clave_unidad70,2G,Voltios CA
catalogos_clave_unidad71,2H,Voltios CD
catalogos_clave_unidad72,2I,Unidad térmica británica (tabla internacional) por hora
catalogos_clave_unidad73,2J,Centímetro cúbico por segundo
catalogos_clave_unidad74,2K,Pie cúbico por hora
catalogos_clave_unidad75,2L,Pie cúbico por minuto
catalogos_clave_unidad76,2M,Centímetro por segundo
catalogos_clave_unidad77,2N,Decibel
catalogos_clave_unidad78,2P,Kilobyte
catalogos_clave_unidad79,2Q,Kilobecquerel
catalogos_clave_unidad80,2R,Kilocurie
catalogos_clave_unidad81,2U,Megagramo
catalogos_clave_unidad82,2V,Megagrama por hora
catalogos_clave_unidad83,2X,Metro por minuto
catalogos_clave_unidad84,2Y,Milliroentgen
catalogos_clave_unidad85,2Z,Milivoltio
catalogos_clave_unidad86,33,Kilopascal por grtr
catalogos_clave_unidad87,34,Kilopascal por milimetro
catalogos_clave_unidad88,35,Milimetro por un segundo centimetro cuadrado
catalogos_clave_unidad89,37,Onza por pie cuadrado
catalogos_clave_unidad90,38,"Onzas por pie cuadrado por 0,01 pulgadas"
catalogos_clave_unidad91,3B,Megajoule
catalogos_clave_unidad92,3C,Manmonth
catalogos_clave_unidad93,3E,Libra por libra de producto
catalogos_clave_unidad94,3G,Libra por pieza de producto
catalogos_clave_unidad95,3H,Kilogramo por kilogramo de producto
catalogos_clave_unidad96,3I,Kilogramo por pedazo de producto
catalogos_clave_unidad97,40,Mililitro por segundo
catalogos_clave_unidad98,41,Mililitro por minuto
catalogos_clave_unidad99,4B,Gorra
catalogos_clave_unidad100,4C,Centistokes
catalogos_clave_unidad101,4E,Veinte pack
catalogos_clave_unidad102,4G,Microlitro
catalogos_clave_unidad103,4H,Micra
catalogos_clave_unidad104,4K,Miliamperio
catalogos_clave_unidad105,4L,Megabyte
catalogos_clave_unidad106,4M,Miligramo por hora
catalogos_clave_unidad107,4N,Megabequerel
catalogos_clave_unidad108,4O,Microfaradio
catalogos_clave_unidad109,4P,Newton por metro
catalogos_clave_unidad110,4Q,Onza pulgada
catalogos_clave_unidad111,4R,Onza pie
catalogos_clave_unidad112,4T,Picofaradio
catalogos_clave_unidad113,4U,Libra por hora
catalogos_clave_unidad114,4W,Tonelada (EUA) por hora
catalogos_clave_unidad115,4X,Kilolitro por hora
catalogos_clave_unidad116,56,Sitas
catalogos_clave_unidad117,57,Malla
catalogos_clave_unidad118,58, kilogramo neto
catalogos_clave_unidad119,59,Parte por millón
catalogos_clave_unidad120,5A,Barril por minuto
catalogos_clave_unidad121,5B,Batch
catalogos_clave_unidad122,5C,Galón (US) por mil
catalogos_clave_unidad123,5E,Mmscf/day
catalogos_clave_unidad124,5F,Libra por mil
catalogos_clave_unidad125,5G,bomba
catalogos_clave_unidad126,5H,Escenario
catalogos_clave_unidad127,5I,Pies cúbicos estándar
catalogos_clave_unidad128,5J,Caballos de potencia hidráulica
catalogos_clave_unidad129,5K,Contar por minuto
catalogos_clave_unidad130,5P,Nivel sísmico
catalogos_clave_unidad131,5Q,Línea sísmica
catalogos_clave_unidad132,60,Tanto por ciento en peso
catalogos_clave_unidad133,61,Parte por mil millones (EUA)
catalogos_clave_unidad134,74,Milipascal
catalogos_clave_unidad135,77,Mili-pulgada
catalogos_clave_unidad136,80,Libra por pulgada cuadrado absoluta
catalogos_clave_unidad137,81,Henry
catalogos_clave_unidad138,85,Pie libra-fuerza
catalogos_clave_unidad139,87,Libra por pie cúbico
catalogos_clave_unidad140,89,Poise
catalogos_clave_unidad141,91,Stokes
catalogos_clave_unidad142,A1,15 ° C calorías
catalogos_clave_unidad143,A10,Amperio por metro cuadrado por joule segundo
catalogos_clave_unidad144,A11,Ángstrom
catalogos_clave_unidad145,A12,Unidad astronómica
catalogos_clave_unidad146,A13,Attojoule
catalogos_clave_unidad147,A14,Barn
catalogos_clave_unidad148,A15,Barn por electrovoltio
catalogos_clave_unidad149,A16,Barn por electrovoltio 
catalogos_clave_unidad150,A17,Barn por esteroradian
catalogos_clave_unidad151,A18,Becquerel por kilogramo
catalogos_clave_unidad152,A19,Becquerel por metro cúbico
catalogos_clave_unidad153,A2,Amperio por centímetro
catalogos_clave_unidad154,A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.
catalogos_clave_unidad155,A21,Unidad térmica británica (tabla internacional) por libra grado rankine
catalogos_clave_unidad156,A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine
catalogos_clave_unidad157,A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.
catalogos_clave_unidad158,A24,Candela por metro cuadrado
catalogos_clave_unidad159,A25,Caballo de vapor
catalogos_clave_unidad160,A26,Culombio metro
catalogos_clave_unidad161,A27,Culombio metro cuadrado por voltio
catalogos_clave_unidad162,A28,Culombio por centímetro cúbico
catalogos_clave_unidad163,A29,Culombio por metro cúbico
catalogos_clave_unidad164,A3,Amperio por milímetro
catalogos_clave_unidad165,A30,Culombio por milimetro cúbico
catalogos_clave_unidad166,A31,Culombio por kilogramo-segundo
catalogos_clave_unidad167,A32,Culombio por Mol
catalogos_clave_unidad168,A33,Culombio por centímetro cuadrado
catalogos_clave_unidad169,A34,Culombio por metro cuadrado
catalogos_clave_unidad170,A35,Culombio por milímetro cuadrado
catalogos_clave_unidad171,A36,Centimetro cúbico por Mol
catalogos_clave_unidad172,A37,Decimetro cuadrado por Mol
catalogos_clave_unidad173,A38,Cubic pooulo p
catalogos_clave_unidad174,A39,Metro cúbico por kilogramo
catalogos_clave_unidad175,A4,Amperio por centímetro cuadrado
catalogos_clave_unidad176,A40,Metro cubbico por Mol
catalogos_clave_unidad177,A41,Amperio por metro cuadrado
catalogos_clave_unidad178,A42,Curie por kilogramo
catalogos_clave_unidad179,A43,Tonelaje de peso muerto
catalogos_clave_unidad180,A44,Decalitro
catalogos_clave_unidad181,A45,Decámetro
catalogos_clave_unidad182,A47,Decitex
catalogos_clave_unidad183,A48,Grado rankine
catalogos_clave_unidad184,A49,Negador
catalogos_clave_unidad185,A5,Amperio metro cuadrado
catalogos_clave_unidad186,A50,Dyne segundo por centímetro cúbico
catalogos_clave_unidad187,A51,Dyne segundo por centímetro
catalogos_clave_unidad188,A52,Dyne segundo por centímetro a la quinta potencia
catalogos_clave_unidad189,A53,Electrónvoltio
catalogos_clave_unidad190,A54,Electrovoltio por metro
catalogos_clave_unidad191,A55,Electrovoltio por metro cuadrado
catalogos_clave_unidad192,A56,Electrovoltio metro cuadrado por kilogramo
catalogos_clave_unidad193,A57,Ergio
catalogos_clave_unidad194,A58,Erg por centímetro
catalogos_clave_unidad195,A59,La cobertura de nubes 8-parte
catalogos_clave_unidad196,A6,Amperio por metro cuadrado Kelvin cuadrado
catalogos_clave_unidad197,A60,Erg por centímetro cúbico
catalogos_clave_unidad198,A61,Erg por gramo
catalogos_clave_unidad199,A62,Erg por segundo gramo
catalogos_clave_unidad200,A63,Erg por segundo
catalogos_clave_unidad201,A64,Erg por segundo centímetro cuadrado
catalogos_clave_unidad202,A65,Erg por centímetro cuadrado segundo
catalogos_clave_unidad203,A66,Erg centímetro cuadrado
catalogos_clave_unidad204,A67,Erg centímetro cuadrado por gramo
catalogos_clave_unidad205,A68,Exajoule
catalogos_clave_unidad206,A69,Faradio por metro
catalogos_clave_unidad207,A7,Amperio por milímetro cuadrado
catalogos_clave_unidad208,A70,Femtojoule
catalogos_clave_unidad209,A71,Femtómetro
catalogos_clave_unidad210,A73,Pie por segundo al cuadrado
catalogos_clave_unidad211,A74,Pie libra-fuerza por segundo
catalogos_clave_unidad212,A75,Tonelada de carga
catalogos_clave_unidad213,A76,Galón
catalogos_clave_unidad214,A77,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento
catalogos_clave_unidad215,A78,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica
catalogos_clave_unidad216,A79,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica
catalogos_clave_unidad217,A8,Amperio segundo
catalogos_clave_unidad218,A80,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico
catalogos_clave_unidad219,A81,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica
catalogos_clave_unidad220,A82,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico
catalogos_clave_unidad221,A83,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización
catalogos_clave_unidad222,A84,GigaCulombio por metro cúbico
catalogos_clave_unidad223,A85,Gigaelectrónvoltio
catalogos_clave_unidad224,A86,Gigahertz
catalogos_clave_unidad225,A87,GigaOhm
catalogos_clave_unidad226,A88,GigaOhm metro
catalogos_clave_unidad227,A89,Gigapascal
catalogos_clave_unidad228,A9,Tarífa
catalogos_clave_unidad229,A90,Gigawatt
catalogos_clave_unidad230,A91,Grado centesimal
catalogos_clave_unidad231,A93,Gramo por metro cúbico
catalogos_clave_unidad232,A94,Gramo por Mol
catalogos_clave_unidad233,A95,Gray
catalogos_clave_unidad234,A96,Gray por segundo
catalogos_clave_unidad235,A97,Hectopascal
catalogos_clave_unidad236,A98,Henry por metro
catalogos_clave_unidad237,A99,Bit
catalogos_clave_unidad238,AA,Balón
catalogos_clave_unidad239,AB,Paquete a granel
catalogos_clave_unidad240,ACR,Acre
catalogos_clave_unidad241,ACT,Actividad
catalogos_clave_unidad242,AD,Byte
catalogos_clave_unidad243,AE,Amperio por metro
catalogos_clave_unidad244,AH,Minuto adicional
catalogos_clave_unidad245,AI,Minuto y medio por llamada
catalogos_clave_unidad246,AJ,policía
catalogos_clave_unidad247,AK,Braza
catalogos_clave_unidad248,AL,Línea de acceso
catalogos_clave_unidad249,AMH,Amperio hora
catalogos_clave_unidad250,AMP,Amperio
catalogos_clave_unidad251,ANN,Año
catalogos_clave_unidad252,AP,Libra de aluminio solamente
catalogos_clave_unidad253,APZ,Onza troy u onza farmacéutica 
catalogos_clave_unidad254,AQ,Unidad del factir anti-hemofilico.
catalogos_clave_unidad255,AR,supositorio
catalogos_clave_unidad256,ARE,Are
catalogos_clave_unidad257,AS,Variedad
catalogos_clave_unidad258,ASM,Grado alcohólico en masa
catalogos_clave_unidad259,ASU,Grado alcohólico volumétrico
catalogos_clave_unidad260,ATM,Atmósfera estándar
catalogos_clave_unidad261,ATT,Atmósfera técnica
catalogos_clave_unidad262,AW,Relleno de polvo en viales
catalogos_clave_unidad263,AWG,Calibre de alambre americano
catalogos_clave_unidad264,AY,Montaje
catalogos_clave_unidad265,AZ,Unidad térmica británica (tabla internacional) por libra
catalogos_clave_unidad266,B0,Btu por pie cúbico
catalogos_clave_unidad267,B1,Barril (EUA) por día
catalogos_clave_unidad268,B10,Bits por segundo
catalogos_clave_unidad269,B11,Joule por kilogramo kelvin
catalogos_clave_unidad270,B12,Joule por metro
catalogos_clave_unidad271,B13,Joule por metro cuadrado
catalogos_clave_unidad272,B14,Joule por metro a la cuarta potencia
catalogos_clave_unidad273,B15,Juole por Mol
catalogos_clave_unidad274,B16,Juoule por Mol kelvin
catalogos_clave_unidad275,B17,Crédito
catalogos_clave_unidad276,B18,Segundos joule
catalogos_clave_unidad277,B19,Dígito
catalogos_clave_unidad278,B2,litera
catalogos_clave_unidad279,B20,Joule metro cuadrado por kologramo
catalogos_clave_unidad280,B21,Kelvin por watt
catalogos_clave_unidad281,B22,Kiloamperio
catalogos_clave_unidad282,B23,Kiloamperio por metro cuadrado
catalogos_clave_unidad283,B24,Kiloamperio por metro
catalogos_clave_unidad284,B25,Kilobecquerel por metrocúbico
catalogos_clave_unidad285,B26,KiloCulombio
catalogos_clave_unidad286,B27,KiloCulombio por metro cúbico
catalogos_clave_unidad287,B28,KiloCulombio por metro cuadrado
catalogos_clave_unidad288,B29,Kiloelectrónvoltio
catalogos_clave_unidad289,B3,Libra de bateo
catalogos_clave_unidad290,B30,Gibibit
catalogos_clave_unidad291,B31,Kilogramo metro por segundo
catalogos_clave_unidad292,B32,Kilogramo metro cuadrado
catalogos_clave_unidad293,B33,Kilogramo metro cuadrado por segundo
catalogos_clave_unidad294,B34,Kilogramo por decímetro cúbico
catalogos_clave_unidad295,B35,Kilogramo por litro
catalogos_clave_unidad296,B36,Calorías (termoquímicas) por gramo
catalogos_clave_unidad297,B37,Kilogramo de fuerza
catalogos_clave_unidad298,B38,Kilogramo-metro de la fuerza
catalogos_clave_unidad299,B39,Kilogramo-fuerza del metro por segundo
catalogos_clave_unidad300,B4,"Barril, unidad imperial"
catalogos_clave_unidad301,B40,Kilogramo de fuerza por metro cuadrado
catalogos_clave_unidad302,B41,Kilojoule por kelvin
catalogos_clave_unidad303,B42,Kilojoule por kilogramo
catalogos_clave_unidad304,B43,Kilojoule por kilogramo kelvin
catalogos_clave_unidad305,B44,Kilojoule por Mol 
catalogos_clave_unidad306,B45,KiloMol
catalogos_clave_unidad307,B46,KiloMol por metro cúbico
catalogos_clave_unidad308,B47,Kilonewton
catalogos_clave_unidad309,B48,Kilonewton metro
catalogos_clave_unidad310,B49,KiloOhm
catalogos_clave_unidad311,B5,palanquilla
catalogos_clave_unidad312,B50,KiloOhm metro
catalogos_clave_unidad313,B51,KiloLibra
catalogos_clave_unidad314,B52,Kilosegundo
catalogos_clave_unidad315,B53,Kilosiemens
catalogos_clave_unidad316,B54,Kilosiemens por metro
catalogos_clave_unidad317,B55,Kilovoltio por metro
catalogos_clave_unidad318,B56,Kiloweber por metro
catalogos_clave_unidad319,B57,Año luz
catalogos_clave_unidad320,B58,Litro por Mol
catalogos_clave_unidad321,B59,Lumen hora
catalogos_clave_unidad322,B6,Bollo
catalogos_clave_unidad323,B60,Lumen por metro cuadrado
catalogos_clave_unidad324,B61,Luminosidad por watt
catalogos_clave_unidad325,B62,Lumen segundo
catalogos_clave_unidad326,B63,Hora de luz
catalogos_clave_unidad327,B64,Segundo de luz
catalogos_clave_unidad328,B65,Maxwell
catalogos_clave_unidad329,B66,Megaamperio por metro cuadrado
catalogos_clave_unidad330,B67,Megabecquerel por kilogramo
catalogos_clave_unidad331,B68,Gigabit
catalogos_clave_unidad332,B69,MegaCulombio por metro cúbico
catalogos_clave_unidad333,B7,Ciclo
catalogos_clave_unidad334,B70,MegaCulombio por metro cuadrado
catalogos_clave_unidad335,B71,Megaelectrónvoltio
catalogos_clave_unidad336,B72,Megagramo por metro cúbico
catalogos_clave_unidad337,B73,Meganewton
catalogos_clave_unidad338,B74,Meganewton metro
catalogos_clave_unidad339,B75,MegaOhm
catalogos_clave_unidad340,B76,MegaOhm metro
catalogos_clave_unidad341,B77,Megasiemens por metro
catalogos_clave_unidad342,B78,Megavoltio 
catalogos_clave_unidad343,B79,Megavoltio por metro
catalogos_clave_unidad344,B8,Joule por metro cúbico
catalogos_clave_unidad345,B80,Gigabit por segundo
catalogos_clave_unidad346,B81,"Reciprocidad del metro cuadrado, reciprocidad del segundo"
catalogos_clave_unidad347,B82,Pulgadas por pie lineal
catalogos_clave_unidad348,B83,Metro a la cuarta potencia
catalogos_clave_unidad349,B84,Microamperio
catalogos_clave_unidad350,B85,Microbar
catalogos_clave_unidad351,B86,MicroCulombio
catalogos_clave_unidad352,B87,MicroCulombio por metro cúbico
catalogos_clave_unidad353,B88,MicroCulombio por metro cuadrado
catalogos_clave_unidad354,B89,Microfaradio por metro
catalogos_clave_unidad355,B9,Batt
catalogos_clave_unidad356,B90,Microhenry
catalogos_clave_unidad357,B91,Microhenry por metro
catalogos_clave_unidad358,B92,Micronewton
catalogos_clave_unidad359,B93,Micronewton metro
catalogos_clave_unidad360,B94,Micro Ohm
catalogos_clave_unidad361,B95,MicroOhm metro
catalogos_clave_unidad362,B96,Micropascal
catalogos_clave_unidad363,B97,Microrradián
catalogos_clave_unidad364,B98,Microsegundo
catalogos_clave_unidad365,B99,Microsiemens
catalogos_clave_unidad366,BAR,Bar [unidad de presión]
catalogos_clave_unidad367,BB,Caja base
catalogos_clave_unidad368,BFT,Tablero de pies
catalogos_clave_unidad369,BH,Cepillo
catalogos_clave_unidad370,BHP,Potencia al freno
catalogos_clave_unidad371,BIL,Billon
catalogos_clave_unidad372,BLD,Barril seco (EUA)
catalogos_clave_unidad373,BLL,Barril (EUA)
catalogos_clave_unidad374,BP,Tabledo de cien pies
catalogos_clave_unidad375,BPM,Latidos por minuto
catalogos_clave_unidad376,BQL,Becquerel
catalogos_clave_unidad377,BTU,Unidad térmica británica (tabla internacional)
catalogos_clave_unidad378,BUA,Bushel (EUA)
catalogos_clave_unidad379,BUI,Bushel (UK)
catalogos_clave_unidad380,BW,Peso base
catalogos_clave_unidad381,BZ,Millones de BTUs
catalogos_clave_unidad382,C0,Llamada
catalogos_clave_unidad383,C1,Libra de producto compuesto (peso total)
catalogos_clave_unidad384,C10,Milifaradio
catalogos_clave_unidad385,C11,Miligalón
catalogos_clave_unidad386,C12,Miligramo por metro
catalogos_clave_unidad387,C13,MilliGray
catalogos_clave_unidad388,C14,Milihenry
catalogos_clave_unidad389,C15,Milijoule
catalogos_clave_unidad390,C16,Milímetro por segundo
catalogos_clave_unidad391,C17,Milímetro cuadrado por segundo
catalogos_clave_unidad392,C18,MiliMol
catalogos_clave_unidad393,C19,Mol por kilogramo
catalogos_clave_unidad394,C2,Carset
catalogos_clave_unidad395,C20,Milinewton
catalogos_clave_unidad396,C21,Kibibit
catalogos_clave_unidad397,C22,Milinewton por metro
catalogos_clave_unidad398,C23,MiliOhm metro
catalogos_clave_unidad399,C24,Milipascal segundo
catalogos_clave_unidad400,C25,Milirradián
catalogos_clave_unidad401,C26,Milisegundo
catalogos_clave_unidad402,C27,Milisiemens
catalogos_clave_unidad403,C28,MilliSievert
catalogos_clave_unidad404,C29,Militesla
catalogos_clave_unidad405,C3,Microvoltios por metro
catalogos_clave_unidad406,C30,Milivoltio por metro
catalogos_clave_unidad407,C31,Miliwatt
catalogos_clave_unidad408,C32,Miliwatt por metro cuadrado
catalogos_clave_unidad409,C33,Miliweber
catalogos_clave_unidad410,C34,Mol
catalogos_clave_unidad411,C35,Mol por decimetro cúbico
catalogos_clave_unidad412,C36,Mol por metro cúbico
catalogos_clave_unidad413,C37,Kilobits
catalogos_clave_unidad414,C38,Mol por litro
catalogos_clave_unidad415,C39,Nanoamperio
catalogos_clave_unidad416,C4,partido de carga
catalogos_clave_unidad417,C40,NanoCulombio
catalogos_clave_unidad418,C41,Nanofaradio
catalogos_clave_unidad419,C42,Nanofaradio por metro
catalogos_clave_unidad420,C43,Nanohenry
catalogos_clave_unidad421,C44,Nanohenry por metro
catalogos_clave_unidad422,C45,Nanómetro
catalogos_clave_unidad423,C46,NanoOhm metro
catalogos_clave_unidad424,C47,Nanosegundo
catalogos_clave_unidad425,C48,Nanotesla
catalogos_clave_unidad426,C49,Nanowatt
catalogos_clave_unidad427,C5,Costo
catalogos_clave_unidad428,C50,Neperio
catalogos_clave_unidad429,C51,Neperio por segundo
catalogos_clave_unidad430,C52,Picómetro
catalogos_clave_unidad431,C53,Newton metro segundo
catalogos_clave_unidad432,C54,Newton metro cuadrado por kilogramo cuadrado
catalogos_clave_unidad433,C55,Newton por metro cuadrado
catalogos_clave_unidad434,C56,Newton por milimetro cuadrado
catalogos_clave_unidad435,C57,Newton segundo
catalogos_clave_unidad436,C58,Segundos newton por metro
catalogos_clave_unidad437,C59,Octava
catalogos_clave_unidad438,C6,celda
catalogos_clave_unidad439,C60,Ohm centímetro
catalogos_clave_unidad440,C61,Ohm metro
catalogos_clave_unidad441,C62,Uno
catalogos_clave_unidad442,C63,Pársec
catalogos_clave_unidad443,C64,Pascal por kelvin
catalogos_clave_unidad444,C65,Pascal segundo
catalogos_clave_unidad445,C66,Segundos pascal por metro cúbico
catalogos_clave_unidad446,C67,Segundos pascal por metro 
catalogos_clave_unidad447,C68,Petajoule
catalogos_clave_unidad448,C69,Phon
catalogos_clave_unidad449,C7,Centipoise
catalogos_clave_unidad450,C70,Picoamperio
catalogos_clave_unidad451,C71,PicoCulombio
catalogos_clave_unidad452,C72,Picofaradio por metro
catalogos_clave_unidad453,C73,Picohenry
catalogos_clave_unidad454,C74,Kilobits por segundo
catalogos_clave_unidad455,C75,Picowatt
catalogos_clave_unidad456,C76,Picowatt  por metro cuadrado
catalogos_clave_unidad457,C77,Calibre de libra
catalogos_clave_unidad458,C78,Libra fuerza
catalogos_clave_unidad459,C79,Kilovoltios horas amperios
catalogos_clave_unidad460,C8,MilliCulombio por kilogramo
catalogos_clave_unidad461,C80,Rad
catalogos_clave_unidad462,C81,Radián
catalogos_clave_unidad463,C82,Radianmetro cuadrado por Mol
catalogos_clave_unidad464,C83,Rradian metro cuadrado por kilogramo
catalogos_clave_unidad465,C84,Radían por metro
catalogos_clave_unidad466,C85,Reciprocidad Ámstrong
catalogos_clave_unidad467,C86,Reciprocidad del metro cúbico
catalogos_clave_unidad468,C87,Reciprocidad metro cúbico por segundo
catalogos_clave_unidad469,C88,Recíproco joule por metro cúbico
catalogos_clave_unidad470,C89,Henry recíproco
catalogos_clave_unidad471,C9,Grupo bobinas
catalogos_clave_unidad472,C90,Recíproco Henry
catalogos_clave_unidad473,C91,Recíprocidad de kelvin ó kelvin a la potencia menos 1
catalogos_clave_unidad474,C92,Reciprocidad Metro
catalogos_clave_unidad475,C93,Reciprocidad Metro cuadrado
catalogos_clave_unidad476,C94,Reciprocidad Minuto
catalogos_clave_unidad477,C95,Reciprocidad Mol
catalogos_clave_unidad478,C96,Reciprocidad Pascal o pascal a la potencia menos 1 
catalogos_clave_unidad479,C97,Reciprocidad Segundo
catalogos_clave_unidad480,C98,Segundo recíproco por metro cúbico
catalogos_clave_unidad481,C99,Reciprocidad Segundo por metro cuadrado
catalogos_clave_unidad482,CCT,Capacidad de carga en toneladas métricas
catalogos_clave_unidad483,CDL,Candela
catalogos_clave_unidad484,CE,Cada mes
catalogos_clave_unidad485,CEL,Grados celsius
catalogos_clave_unidad486,CEN,Centenar
catalogos_clave_unidad487,CG,Tarjeta
catalogos_clave_unidad488,CGM,Centígramo
catalogos_clave_unidad489,CK,Conector
catalogos_clave_unidad490,CKG,Culombio por kilogramo
catalogos_clave_unidad491,CLF,Cientos de hojas
catalogos_clave_unidad492,CLT,Centilitro
catalogos_clave_unidad493,CMK,Centímetro cuadrado
catalogos_clave_unidad494,CMQ,Centímetro cúbico
catalogos_clave_unidad495,CMT,Centímetro
catalogos_clave_unidad496,CNP,Cientos de paquetes
catalogos_clave_unidad497,CNT,Cental (UK)
catalogos_clave_unidad498,COU,Culombio
catalogos_clave_unidad499,CTG,Contenido en gramos
catalogos_clave_unidad500,CTM,Quilatage métrico
catalogos_clave_unidad501,CTN,Tonelada de contenido (métrica)
catalogos_clave_unidad502,CUR,Curie
catalogos_clave_unidad503,CWA,Hundred pound
catalogos_clave_unidad504,CWI,Hundredweight
catalogos_clave_unidad505,CZ,Combo
catalogos_clave_unidad506,D03,Kilovatio hora por hora
catalogos_clave_unidad507,D04,Lot [unidad de peso]
catalogos_clave_unidad508,D1,Segundo recíproco por estereorradián
catalogos_clave_unidad509,D10,Siemens por metro
catalogos_clave_unidad510,D11,Mebibit
catalogos_clave_unidad511,D12,Siemens metro cuadrado por Mol
catalogos_clave_unidad512,D13,Sievert
catalogos_clave_unidad513,D14,Yarda mil lineal
catalogos_clave_unidad514,D15,Sone
catalogos_clave_unidad515,D16,Centimetro cuadrado por erg
catalogos_clave_unidad516,D17,Centimetro cuadrado por esteroradian erg
catalogos_clave_unidad517,D18,Metro kelvin
catalogos_clave_unidad518,D19,Metro cuadrado kelvin por watt.
catalogos_clave_unidad519,D2,Segundo recíproco por estereorradián metro cuadrado
catalogos_clave_unidad520,D20,Metro cuadrado por joule
catalogos_clave_unidad521,D21,Metro cuadrado por kilogramo
catalogos_clave_unidad522,D22,Metro cuadrado por Mol
catalogos_clave_unidad523,D23,Gramo pluma (proteína)
catalogos_clave_unidad524,D24,Metro cuadrado por esteroradian
catalogos_clave_unidad525,D25,Metro cuadrado por esteroradian joule
catalogos_clave_unidad526,D26,Metro cuadrado por voltiosegundo
catalogos_clave_unidad527,D27,Estereorradían
