"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria32","0105130100","Patos."
"catalogos_fraccionarancelaria33","0105140100","Gansos."
"catalogos_fraccionarancelaria34","0105150100","Pintadas."
"catalogos_fraccionarancelaria35","0105940100","Gallos de pelea."
"catalogos_fraccionarancelaria36","0105949900","Los demás."
"catalogos_fraccionarancelaria37","0105999900","Los demás."
"catalogos_fraccionarancelaria38","0106110100","Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus."
"catalogos_fraccionarancelaria39","0106119900","Los demás."
"catalogos_fraccionarancelaria40","0106120100","Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
"catalogos_fraccionarancelaria41","0106130100","Camellos y demás camélidos (Camelidae)."
"catalogos_fraccionarancelaria42","0106140100","Conejos y liebres."
"catalogos_fraccionarancelaria43","0106190200","Venado rojo (Cervus elaphus); gamo (Dama dama)."
"catalogos_fraccionarancelaria44","0106199901","Perros."
"catalogos_fraccionarancelaria45","0106199999","Los demás."
"catalogos_fraccionarancelaria46","0106200400","Reptiles (incluidas las serpientes y tortugas de mar)."
"catalogos_fraccionarancelaria47","0106310100","Aves de rapiña."
"catalogos_fraccionarancelaria48","0106320100","Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)."
"catalogos_fraccionarancelaria49","0106330100","Avestruces; emúes (Dromaius novaehollandiae)."
"catalogos_fraccionarancelaria50","0106399900","Las demás."
"catalogos_fraccionarancelaria51","0106410100","Abejas."
"catalogos_fraccionarancelaria52","0106499900","Los demás."
"catalogos_fraccionarancelaria53","0106900200","Lombriz Rebellus."
"catalogos_fraccionarancelaria54","0106900300","Lombriz acuática."
"catalogos_fraccionarancelaria55","0106900400","Ácaros Phytoseiulus persimilis."
"catalogos_fraccionarancelaria56","0106909900","Los demás."
"catalogos_fraccionarancelaria57","0201100100","En canales o medias canales."
"catalogos_fraccionarancelaria58","0201209900","Los demás cortes (trozos) sin deshuesar."
"catalogos_fraccionarancelaria59","0201300100","Deshuesada."
"catalogos_fraccionarancelaria60","0202100100","En canales o medias canales."
"catalogos_fraccionarancelaria61","0202209900","Los demás cortes (trozos) sin deshuesar."
"catalogos_fraccionarancelaria62","0202300100","Deshuesada."
"catalogos_fraccionarancelaria63","0203110100","En canales o medias canales."
"catalogos_fraccionarancelaria64","0203120101","Paletas y sus trozos."
"catalogos_fraccionarancelaria65","0203120102","Piernas y sus trozos."
"catalogos_fraccionarancelaria66","0203199900","Las demás."
"catalogos_fraccionarancelaria67","0203210100","En canales o medias canales."
"catalogos_fraccionarancelaria68","0203220101","Paletas y sus trozos."
"catalogos_fraccionarancelaria69","0203220102","Piernas y sus trozos."
"catalogos_fraccionarancelaria70","0203299900","Las demás."
"catalogos_fraccionarancelaria71","0204100100","Canales o medias canales de cordero, frescas o refrigeradas."
"catalogos_fraccionarancelaria72","0204210100","En canales o medias canales."
"catalogos_fraccionarancelaria73","0204229900","Los demás cortes (trozos) sin deshuesar."
"catalogos_fraccionarancelaria74","0204230100","Deshuesadas."
"catalogos_fraccionarancelaria75","0204300100","Canales o medias canales de cordero, congeladas."
"catalogos_fraccionarancelaria76","0204410100","En canales o medias canales."
"catalogos_fraccionarancelaria77","0204429900","Los demás cortes (trozos) sin deshuesar."
"catalogos_fraccionarancelaria78","0204430100","Deshuesadas."
"catalogos_fraccionarancelaria79","0204500100","Carne de animales de la especie caprina."
"catalogos_fraccionarancelaria80","0205000100","Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada."
"catalogos_fraccionarancelaria81","0206100100","De la especie bovina, frescos o refrigerados."
"catalogos_fraccionarancelaria82","0206210100","Lenguas."
"catalogos_fraccionarancelaria83","0206220100","Hígados."
"catalogos_fraccionarancelaria84","0206299900","Los demás."
"catalogos_fraccionarancelaria85","0206300100","Pieles  de  cerdo  enteras  o  en  recortes,  refrigerados,  excepto  el  cuero  precocido  en  trozos (""pellets"")."
"catalogos_fraccionarancelaria86","0206309900","Los demás."
"catalogos_fraccionarancelaria87","0206410100","Hígados."
"catalogos_fraccionarancelaria88","0206490100","Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos (""pellets"")."
"catalogos_fraccionarancelaria89","0206499900","Los demás."
"catalogos_fraccionarancelaria90","0206809900","Los demás, frescos o refrigerados."
"catalogos_fraccionarancelaria91","0206909900","Los demás, congelados."
"catalogos_fraccionarancelaria92","0207110100","Sin trocear, frescos o refrigerados."
"catalogos_fraccionarancelaria93","0207120100","Sin trocear, congelados."
"catalogos_fraccionarancelaria94","0207130401","Mecánicamente deshuesados (pastas)."
"catalogos_fraccionarancelaria95","0207130402","Carcazas."
"catalogos_fraccionarancelaria96","0207130403","Piernas, muslos o piernas unidas al muslo."
"catalogos_fraccionarancelaria97","0207130404","Alas y sus partes."
"catalogos_fraccionarancelaria98","0207130405","Pechuga, sus trozos y recortes, con hueso."
"catalogos_fraccionarancelaria99","0207130406","Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada)."
"catalogos_fraccionarancelaria100","0207130499","Los demás."
"catalogos_fraccionarancelaria101","0207140200","Hígados."
"catalogos_fraccionarancelaria102","0207149901","Mecánicamente deshuesados (pastas)."
"catalogos_fraccionarancelaria103","0207149902","Piernas, muslos o piernas unidas al muslo."
"catalogos_fraccionarancelaria104","0207149903","Alas y sus partes."
"catalogos_fraccionarancelaria105","0207149904","Pechuga, sus trozos y recortes, con hueso."
"catalogos_fraccionarancelaria106","0207149905","Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada)."
"catalogos_fraccionarancelaria107","0207149999","Los demás."
"catalogos_fraccionarancelaria108","0207240100","Sin trocear, frescos o refrigerados."
"catalogos_fraccionarancelaria109","0207250100","Sin trocear, congelados."
"catalogos_fraccionarancelaria110","0207260301","Mecánicamente deshuesados (pastas)."
"catalogos_fraccionarancelaria111","0207260399","Los demás."
"catalogos_fraccionarancelaria112","0207270200","Hígados."
"catalogos_fraccionarancelaria113","0207279901","Mecánicamente deshuesados (pastas)."
"catalogos_fraccionarancelaria114","0207279999","Los demás."
"catalogos_fraccionarancelaria115","0207410100","Sin trocear, frescos o refrigerados."
"catalogos_fraccionarancelaria116","0207420100","Sin trocear, congelados."
"catalogos_fraccionarancelaria117","0207430100","Hígados grasos, frescos o refrigerados."
"catalogos_fraccionarancelaria118","0207440100","Los demás, frescos o refrigerados."
"catalogos_fraccionarancelaria119","0207450100","Hígados."
"catalogos_fraccionarancelaria120","0207459900","Los demás."
"catalogos_fraccionarancelaria121","0207510100","Sin trocear, frescos o refrigerados."
"catalogos_fraccionarancelaria122","0207520100","Sin trocear, congelados."
"catalogos_fraccionarancelaria123","0207530100","Hígados grasos, frescos o refrigerados."
"catalogos_fraccionarancelaria124","0207540100","Los demás, frescos o refrigerados."
"catalogos_fraccionarancelaria125","0207550100","Hígados."
"catalogos_fraccionarancelaria126","0207559900","Los demás."
"catalogos_fraccionarancelaria127","0207600300","De pintada."
"catalogos_fraccionarancelaria128","0208100100","De conejo o liebre."
"catalogos_fraccionarancelaria129","0208300100","De primates."
"catalogos_fraccionarancelaria130","0208400100","De  ballenas,  delfines  y  marsopas  (mamíferos  del  orden  Cetacea);  manatíes  y  dugones  o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
"catalogos_fraccionarancelaria131","0208500100","De reptiles (incluidas las serpientes y tortugas de mar)."
"catalogos_fraccionarancelaria132","0208600100","De camellos y demás camélidos (Camelidae)."
"catalogos_fraccionarancelaria133","0208909900","Los demás."
"catalogos_fraccionarancelaria134","0209100100","De cerdo."
"catalogos_fraccionarancelaria135","0209900100","De gallo, gallina o pavo (gallipavo)."
"catalogos_fraccionarancelaria136","0209909900","Los demás."
"catalogos_fraccionarancelaria137","0210110100","Jamones, paletas, y sus trozos, sin deshuesar."
"catalogos_fraccionarancelaria138","0210120100","Tocino entreverado de panza (panceta) y sus trozos."
"catalogos_fraccionarancelaria139","0210199900","Las demás."
"catalogos_fraccionarancelaria140","0210200100","Carne de la especie bovina."
"catalogos_fraccionarancelaria141","0210910100","De primates."
"catalogos_fraccionarancelaria142","0210920100","De  ballenas,  delfines  y  marsopas  (mamíferos  del  orden  Cetacea);  manatíes  y  dugones  o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
"catalogos_fraccionarancelaria143","0210930100","De reptiles (incluidas las serpientes y tortugas de mar)."
"catalogos_fraccionarancelaria144","0210990200","Pieles de cerdo ahumadas, enteras o en recortes."
"catalogos_fraccionarancelaria145","0210999900","Los demás."
"catalogos_fraccionarancelaria146","0301110100","De agua dulce."
"catalogos_fraccionarancelaria147","0301199900","Los demás."
"catalogos_fraccionarancelaria148","0301910100","Truchas  (Salmo  trutta,  Oncorhynchus  mykiss,  Oncorhynchus  clarki,  Oncorhynchus  aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
"catalogos_fraccionarancelaria149","0301920100","Anguilas (Anguilla spp.)."
"catalogos_fraccionarancelaria150","0301930100","Carpas  (Cyprinus  spp.,  Carassius  spp.,  Ctenopharyngodon  idellus,  Hypophthalmichthys  spp., Cirrhinus   spp.,   Mylopharyngodon   piceus,   Catla   catla,   Labeo   spp.,   Osteochilus   hasselti, Leptobarbus hoeveni, Megalobrama spp.)."
"catalogos_fraccionarancelaria151","0301940100","Atunes  comunes  o  de  aleta  azul,  del  Atlántico  y  del  Pacífico  (Thunnus  thynnus,  Thunnus orientalis)."
"catalogos_fraccionarancelaria152","0301950100","Atunes del sur (Thunnus maccoyii)."
"catalogos_fraccionarancelaria153","0301999900","Los demás."
"catalogos_fraccionarancelaria154","0302110100","Truchas  (Salmo  trutta,  Oncorhynchus  mykiss,  Oncorhynchus  clarki,  Oncorhynchus  aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
"catalogos_fraccionarancelaria155","0302130100","Salmones  del  Pacífico  (Oncorhynchus  nerka,  Oncorhynchus  gorbuscha,  Oncorhynchus  keta, Oncorhynchus  tschawytscha,  Oncorhynchus  kisutch,  Oncorhynchus  masou  y  Oncorhynchus rhodurus)."
"catalogos_fraccionarancelaria156","0302140100","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
"catalogos_fraccionarancelaria157","0302199900","Los demás."
"catalogos_fraccionarancelaria158","0302210100","Fletanes   (halibut)   (Reinhardtius   hippoglossoides,   Hippoglossus   hippoglossus,   Hippoglossus stenolepis)."
"catalogos_fraccionarancelaria159","0302220100","Sollas (Pleuronectes platessa)."
"catalogos_fraccionarancelaria160","0302230100","Lenguados (Solea spp.)."
"catalogos_fraccionarancelaria161","0302240100","Rodaballos (turbots) (Psetta maxima)."
"catalogos_fraccionarancelaria162","0302299900","Los demás."
"catalogos_fraccionarancelaria163","0302310100","Albacoras o atunes blancos (Thunnus alalunga)."
"catalogos_fraccionarancelaria164","0302320100","Atunes de aleta amarilla (rabiles) (Thunnus albacares)."
"catalogos_fraccionarancelaria165","0302330100","Listados o bonitos de vientre rayado."
"catalogos_fraccionarancelaria166","0302340100","Patudos o atunes ojo grande (Thunnus obesus)."
"catalogos_fraccionarancelaria167","0302350100","Atunes  comunes  o  de  aleta  azul,  del  Atlántico  y  del  Pacífico  (Thunnus  thynnus,  Thunnus orientalis)."
"catalogos_fraccionarancelaria168","0302360100","Atunes del sur (Thunnus maccoyii)."
"catalogos_fraccionarancelaria169","0302399900","Los demás."
"catalogos_fraccionarancelaria170","0302410100","Arenques (Clupea harengus, Clupea pallasii)."
"catalogos_fraccionarancelaria171","0302420100","Anchoas (Engraulis spp.)."
"catalogos_fraccionarancelaria172","0302430100","Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)."
"catalogos_fraccionarancelaria173","0302440100","Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)."
"catalogos_fraccionarancelaria174","0302450100","Jureles (Trachurus spp.)."
"catalogos_fraccionarancelaria175","0302460100","Cobias (Rachycentron canadum)."
"catalogos_fraccionarancelaria176","0302470100","Peces espada (Xiphias gladius)."
"catalogos_fraccionarancelaria177","0302499900","Los demás."
"catalogos_fraccionarancelaria178","0302510100","Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
"catalogos_fraccionarancelaria179","0302520100","Eglefinos (Melanogrammus aeglefinus)."
"catalogos_fraccionarancelaria180","0302530100","Carboneros (Pollachius virens)."
"catalogos_fraccionarancelaria181","0302540100","Merluzas (Merluccius spp., Urophycis spp.)."
"catalogos_fraccionarancelaria182","0302550100","Abadejos de Alaska (Theragra chalcogramma)."
"catalogos_fraccionarancelaria183","0302560100","Bacaladillas (Micromesistius poutassou, Micromesistius australis)."
"catalogos_fraccionarancelaria184","0302599900","Los demás."
"catalogos_fraccionarancelaria185","0302710100","Tilapias (Oreochromis spp.)."
"catalogos_fraccionarancelaria186","0302720100","Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
"catalogos_fraccionarancelaria187","0302730100","Carpas  (Cyprinus  spp.,  Carassius  spp.,  Ctenopharyngodon  idellus,  Hypophthalmichthys  spp., Cirrhinus   spp.,   Mylopharyngodon   piceus,   Catla   catla,   Labeo   spp.,   Osteochilus   hasselti, Leptobarbus hoeveni, Megalobrama spp.)."
"catalogos_fraccionarancelaria188","0302740100","Anguilas (Anguilla spp.)."
"catalogos_fraccionarancelaria189","0302799900","Los demás."
"catalogos_fraccionarancelaria190","0302810100","Cazones y demás escualos."
"catalogos_fraccionarancelaria191","0302820100","Rayas (Rajidae)."
"catalogos_fraccionarancelaria192","0302830100","Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)."
"catalogos_fraccionarancelaria193","0302840100","Róbalos (Dicentrarchus spp.)."
"catalogos_fraccionarancelaria194","0302850100","Sargos (Doradas, Espáridos) (Sparidae)."
"catalogos_fraccionarancelaria195","0302890100","Totoabas."
"catalogos_fraccionarancelaria196","0302899900","Los demás."
"catalogos_fraccionarancelaria197","0302910100","Hígados, huevas y lechas."
"catalogos_fraccionarancelaria198","0302920100","Aletas de tiburón."
"catalogos_fraccionarancelaria199","0302990100","De Atunes (del género Thunnus), listados o bonitos de vientre rayado (Euthynnus (Katsuwonus)
pelamis)."
"catalogos_fraccionarancelaria200","0302990200","De Merluzas (Merluccius spp., Urophycis spp.)."
"catalogos_fraccionarancelaria201","0302990300","De Totoabas."
"catalogos_fraccionarancelaria202","0302999900","Los demás."
"catalogos_fraccionarancelaria203","0303110100","Salmones rojos (Oncorhynchus nerka)."
"catalogos_fraccionarancelaria204","0303120100","Los demás salmones del Pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)."
"catalogos_fraccionarancelaria205","0303130100","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
"catalogos_fraccionarancelaria206","0303140100","Truchas  (Salmo  trutta,  Oncorhynchus  mykiss,  Oncorhynchus  clarki,  Oncorhynchus  aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
"catalogos_fraccionarancelaria207","0303199900","Los demás."
"catalogos_fraccionarancelaria208","0303230100","Tilapias (Oreochromis spp.)."
"catalogos_fraccionarancelaria209","0303240100","Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
"catalogos_fraccionarancelaria210","0303250100","Carpas  (Cyprinus  spp.,  Carassius  spp.,  Ctenopharyngodon  idellus,  Hypophthalmichthys  spp., Cirrhinus   spp.,   Mylopharyngodon   piceus,   Catla   catla,   Labeo   spp.,   Osteochilus   hasselti, Leptobarbus hoeveni, Megalobrama spp.)."
"catalogos_fraccionarancelaria211","0303260100","Anguilas (Anguilla spp.)."
"catalogos_fraccionarancelaria212","0303299900","Los demás."
"catalogos_fraccionarancelaria213","0303310100","Fletanes   (halibut)   (Reinhardtius   hippoglossoides,   Hippoglossus   hippoglossus,   Hippoglossus stenolepis)."
"catalogos_fraccionarancelaria214","0303320100","Sollas (Pleuronectes platessa)."
"catalogos_fraccionarancelaria215","0303330100","Lenguados (Solea spp.)."
"catalogos_fraccionarancelaria216","0303340100","Rodaballos (turbots) (Psetta maxima)."
"catalogos_fraccionarancelaria217","0303399900","Los demás."
"catalogos_fraccionarancelaria218","0303410100","Albacoras o atunes blancos (Thunnus alalunga)."
"catalogos_fraccionarancelaria219","0303420100","Atunes de aleta amarilla (rabiles) (Thunnus albacares)."
"catalogos_fraccionarancelaria220","0303430100","Listados o bonitos de vientre rayado."
"catalogos_fraccionarancelaria221","0303440100","Patudos o atunes ojo grande (Thunnus obesus)."
"catalogos_fraccionarancelaria222","0303450100","Atunes  comunes  o  de  aleta  azul,  del  Atlántico  y  del  Pacífico  (Thunnus  thynnus,  Thunnus orientalis)."
"catalogos_fraccionarancelaria223","0303460100","Atunes del sur (Thunnus maccoyii)."
"catalogos_fraccionarancelaria224","0303499900","Los demás."
"catalogos_fraccionarancelaria225","0303510100","Arenques (Clupea harengus, Clupea pallasii)."
"catalogos_fraccionarancelaria226","0303530100","Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)."
"catalogos_fraccionarancelaria227","0303540100","Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)."
"catalogos_fraccionarancelaria228","0303550100","Jureles (Trachurus spp.)."
"catalogos_fraccionarancelaria229","0303560100","Cobias (Rachycentron canadum)."
"catalogos_fraccionarancelaria230","0303570100","Peces espada (Xiphias gladius)."
"catalogos_fraccionarancelaria231","0303599900","Los demás."
"catalogos_fraccionarancelaria232","0303630100","Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
"catalogos_fraccionarancelaria233","0303640100","Eglefinos (Melanogrammus aeglefinus)."
"catalogos_fraccionarancelaria234","0303650100","Carboneros (Pollachius virens)."
"catalogos_fraccionarancelaria235","0303660100","Merluzas (Merluccius spp., Urophycis spp.)."
"catalogos_fraccionarancelaria236","0303670100","Abadejos de Alaska (Theragra chalcogramma)."
"catalogos_fraccionarancelaria237","0303680100","Bacaladillas (Micromesistius poutassou, Micromesistius australis)."
"catalogos_fraccionarancelaria238","0303699900","Los demás."
"catalogos_fraccionarancelaria239","0303810100","Cazones y demás escualos."
"catalogos_fraccionarancelaria240","0303820100","Rayas (Rajidae)."
"catalogos_fraccionarancelaria241","0303830100","Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)."
"catalogos_fraccionarancelaria242","0303840100","Róbalos (Dicentrarchus spp.)."
"catalogos_fraccionarancelaria243","0303890100","Totoabas."
"catalogos_fraccionarancelaria244","0303899900","Los demás."
"catalogos_fraccionarancelaria245","0303910100","Hígados, huevas y lechas."
"catalogos_fraccionarancelaria246","0303920100","Aletas de tiburón."
"catalogos_fraccionarancelaria247","0303990100","De Atunes (del género Thunnus), listados o bonitos de vientre rayado (Euthynnus (Katsuwonus)
pelamis)."
"catalogos_fraccionarancelaria248","0303990200","De Merluzas (Merluccius spp., Urophycis spp.) y de Anguilas."
"catalogos_fraccionarancelaria249","0303990300","De Totoabas."
"catalogos_fraccionarancelaria250","0303999900","Los demás."
"catalogos_fraccionarancelaria251","0304310100","Tilapias (Oreochromis spp.)."
"catalogos_fraccionarancelaria252","0304320100","Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
"catalogos_fraccionarancelaria253","0304330100","Percas del Nilo (Lates niloticus)."
"catalogos_fraccionarancelaria254","0304399900","Los demás."
"catalogos_fraccionarancelaria255","0304410100","Salmones  del  Pacífico  (Oncorhynchus  nerka,  Oncorhynchus  gorbuscha,  Oncorhynchus  keta, Oncorhynchus  tschawytscha,  Oncorhynchus  kisutch,  Oncorhynchus  masou  y  Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
"catalogos_fraccionarancelaria256","0304420100","Truchas  (Salmo  trutta,  Oncorhynchus  mykiss,  Oncorhynchus  clarki,  Oncorhynchus  aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
"catalogos_fraccionarancelaria257","0304430100","Pescados   planos   (Pleuronectidae,   Bothidae,   Cynoglossidae,   Soleidae,   Scophthalmidae   y Citharidae)."
"catalogos_fraccionarancelaria258","0304440101","De  merluza  panameña  (Merluccius  angustimanus)  o  merluza  del  Pacífico  Norte  (Merluccius productus)."
"catalogos_fraccionarancelaria259","0304440199","Los demás."
"catalogos_fraccionarancelaria260","0304450100","Peces espada (Xiphias gladius)."
"catalogos_fraccionarancelaria261","0304460100","Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)."
"catalogos_fraccionarancelaria262","0304470100","Cazones y demás escualos."
"catalogos_fraccionarancelaria263","0304480100","Rayas (Rajidae)."
"catalogos_fraccionarancelaria264","0304499901","De atún de aleta azul del Atlántico (Thunnus thynnus), atún de aleta azul del Pacífico (Thunnus orientalis), atún de aleta azul del Sur (Thunnus maccoyii), atún de aleta amarilla (rabiles) (Thunnus albacares),  patudos  o  atunes  ojos  grandes  (Thunnus  obesus)  o  bonito  de  vientre  rayado (Euthynnus (Katsuwonus) pelamis)."
"catalogos_fraccionarancelaria265","0304499902","De sardina (Sardina pilchardus, Sardinops spp.), sardinela (Sardinella spp.) o espadín (Sprattus sprattus)."
"catalogos_fraccionarancelaria266","0304499903","De anchoas (Engraulis spp.)."
"catalogos_fraccionarancelaria267","0304499999","Los demás."
"catalogos_fraccionarancelaria268","0304510100","Tilapias  (Oreochromis  spp.),  bagres  o  peces  gato  (Pangasius  spp.,  Silurus  spp.,  Clarias  spp., Ictalurus    spp.),    carpas    (Cyprinus    spp.,    Carassius    spp.,    Ctenopharyngodon    idellus, Hypophthalmichthys  spp.,  Cirrhinus  spp.,  Mylopharyngodon  piceus,  Catla  catla,  Labeo  spp., Osteochilus  hasselti,  Leptobarbus  hoeveni,  Megalobrama  spp.),  anguilas  (Anguilla  spp.),  percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)."
"catalogos_fraccionarancelaria269","0304520101","De  salmones  del Pacífico (Oncorhynchus  nerka, Oncorhynchus  gorbuscha,  Oncorhynchus keta, Oncorhynchus  tschawytscha,  Oncorhynchus  kisutch,  Oncorhynchus  masou  y  Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
"catalogos_fraccionarancelaria270","0304520199","Los demás."
"catalogos_fraccionarancelaria271","0304530101","De  merluza  panameña  (Merluccius  angustimanus)  o  merluza  del  Pacífico  Norte  (Merluccius productus)."
"catalogos_fraccionarancelaria272","0304530199","Los demás."
"catalogos_fraccionarancelaria273","0304540100","Peces espada (Xiphias gladius)."
"catalogos_fraccionarancelaria274","0304550100","Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)."
"catalogos_fraccionarancelaria275","0304560100","Cazones y demás escualos."
"catalogos_fraccionarancelaria276","0304570100","Rayas (Rajidae)."
"catalogos_fraccionarancelaria277","0304599901","De atún de aleta azul del Atlántico (Thunnus thynnus), atún de aleta azul del Pacífico (Thunnus orientalis), atún de aleta azul del Sur (Thunnus maccoyii), atún de aleta amarilla (rabiles) (Thunnus albacares),  patudos  o  atunes  ojos  grandes  (Thunnus  obesus)  o  bonito  de  vientre  rayado (Euthynnus (Katsuwonus) pelamis)."
"catalogos_fraccionarancelaria278","0304599902","De sardina (Sardina pilchardus, Sardinops spp.), sardinela (Sardinella spp.) o espadín (Sprattus sprattus)."
"catalogos_fraccionarancelaria279","0304599903","De anchoas (Engraulis spp.)."
"catalogos_fraccionarancelaria280","0304599999","Los demás."
"catalogos_fraccionarancelaria281","0304610100","Tilapias (Oreochromis spp.)."
"catalogos_fraccionarancelaria282","0304620100","Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
"catalogos_fraccionarancelaria283","0304630100","Percas del Nilo (Lates niloticus)."
"catalogos_fraccionarancelaria284","0304699900","Los demás."
"catalogos_fraccionarancelaria285","0304710100","Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
"catalogos_fraccionarancelaria286","0304720100","Eglefinos (Melanogrammus aeglefinus)."
"catalogos_fraccionarancelaria287","0304730100","Carboneros (Pollachius virens)."
"catalogos_fraccionarancelaria288","0304740101","De  merluza  panameña  (Merluccius  angustimanus)  o  merluza  del  Pacífico  Norte  (Merluccius productus)."
"catalogos_fraccionarancelaria289","0304740199","Los demás."
"catalogos_fraccionarancelaria290","0304750100","Abadejos de Alaska (Theragra chalcogramma)."
"catalogos_fraccionarancelaria291","0304799900","Los demás."
"catalogos_fraccionarancelaria292","0304810100","Salmones  del  Pacífico  (Oncorhynchus  nerka,  Oncorhynchus  gorbuscha,  Oncorhynchus  keta, Oncorhynchus  tschawytscha,  Oncorhynchus  kisutch,  Oncorhynchus  masou  y  Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
